id,key,title,since,web,country_id,national,continental,intercontinental,created_at,updated_at
1,fifa,"Fédération Internationale de Football Association (FIFA)",1904,www.fifa.com,,f,f,f,"2017-12-28 04:32:20.871300","2017-12-28 04:32:20.871300"
2,uefa,"Union of European Football Associations (UEFA)",1954,www.uefa.com,,f,f,f,"2017-12-28 04:32:20.874137","2017-12-28 04:32:20.874137"
3,conmebol,"Confederación Sudamericana de Fútbol (CONMEBOL)",1916,www.conmebol.com,,f,f,f,"2017-12-28 04:32:20.883672","2017-12-28 04:32:20.883672"
4,concacaf,"Confederation of North, Central American and Caribbean Association Football (CONCACAF)",1961,www.concacaf.com,,f,f,f,"2017-12-28 04:32:20.888051","2017-12-28 04:32:20.888051"
5,caf,"Confédération Africaine de Football (CAF)",1957,www.cafonline.com,,f,f,f,"2017-12-28 04:32:20.893486","2017-12-28 04:32:20.893486"
6,afc,"Asian Football Confederation (AFC)",1954,www.the-afc.com,,f,f,f,"2017-12-28 04:32:20.898882","2017-12-28 04:32:20.898882"
7,ofc,"Oceania Football Confederation (OFC)",1966,www.oceaniafootball.com,,f,f,f,"2017-12-28 04:32:20.902968","2017-12-28 04:32:20.902968"
8,nafu,"North American Football Union (NAFU) / North American Zone",,,,f,f,f,"2017-12-28 04:32:20.905951","2017-12-28 04:32:20.905951"
9,uncaf,"Unión Centroamericana de Fútbol (UNCAF) / Central American Zone",,www.uncafut.com,,f,f,f,"2017-12-28 04:32:20.908922","2017-12-28 04:32:20.908922"
10,cfu,"Caribbean Football Union (CFU) / Caribbean Zone",,www.cfufootball.org,,f,f,f,"2017-12-28 04:32:20.912404","2017-12-28 04:32:20.912404"
11,cecafa,"Council for East and Central Africa Football Associations (CECAFA)",,www.cecafafootball.org,,f,f,f,"2017-12-28 04:32:20.916558","2017-12-28 04:32:20.916558"
12,cosafa,"Council of Southern Africa Football Associations (COSAFA)",,www.cosafa.com,,f,f,f,"2017-12-28 04:32:20.920613","2017-12-28 04:32:20.920613"
13,wafu,"West African Football Union (WAFU)",,,,f,f,f,"2017-12-28 04:32:20.925924","2017-12-28 04:32:20.925924"
14,unaf,"Union of North African Federations (UNAF)",,,,f,f,f,"2017-12-28 04:32:20.930011","2017-12-28 04:32:20.930011"
15,uniffac,"Union des Fédérations du Football de l'Afrique Centrale (UNIFFAC)",,,,f,f,f,"2017-12-28 04:32:20.935115","2017-12-28 04:32:20.935115"
16,waff,"West Asian Football Federation (WAFF)",2001,www.the-waff.com,,f,f,f,"2017-12-28 04:32:20.939218","2017-12-28 04:32:20.939218"
17,eaff,"East Asian Football Federation (EAFF)",2002,www.eaff.com,,f,f,f,"2017-12-28 04:32:20.943541","2017-12-28 04:32:20.943541"
18,csaff,"Central and South Asian Football Federation (CSAFF)",,,,f,f,f,"2017-12-28 04:32:20.948290","2017-12-28 04:32:20.948290"
19,aff,"Association of South East Asian Nations Football Federation (AFF)",1984,www.aseanfootball.org,,f,f,f,"2017-12-28 04:32:20.952401","2017-12-28 04:32:20.952401"
20,uafa,"Union of Arab Football Associations (UAFA)",1974,www.uafaonline.com,,f,f,f,"2017-12-28 04:32:20.958007","2017-12-28 04:32:20.958007"
21,alg,"Fédération Algérienne de Football",1962,www.faf.dz,27,t,f,f,"2017-12-28 04:32:20.961051","2017-12-28 04:32:20.961051"
22,egy,"Egyptian Football Association",1921,www.efa.com.eg,28,t,f,f,"2017-12-28 04:32:20.970313","2017-12-28 04:32:20.970313"
23,mar,"Fédération Royale Marocaine de Football",1955,www.frmf.ma,29,t,f,f,"2017-12-28 04:32:20.978496","2017-12-28 04:32:20.978496"
24,lby,"Libyan Football Federation",1962,,30,t,f,f,"2017-12-28 04:32:20.985875","2017-12-28 04:32:20.985875"
25,tun,"Fédération Tunisienne de Football",1957,www.ftf.org.tn,31,t,f,f,"2017-12-28 04:32:20.994999","2017-12-28 04:32:20.994999"
26,cpv,"Federação Caboverdiana de Futebol",1982,www.fcf.cv,41,t,f,f,"2017-12-28 04:32:21.003821","2017-12-28 04:32:21.003821"
27,gam,"Gambia Football Federation",1952,www.gambiafa.com,43,t,f,f,"2017-12-28 04:32:21.010145","2017-12-28 04:32:21.010145"
28,gui,"Fédération Guinéenne de Football",1960,,45,t,f,f,"2017-12-28 04:32:21.018149","2017-12-28 04:32:21.018149"
29,gnb,"Federação de Futebol da Guiné-Bissau",1974,,46,t,f,f,"2017-12-28 04:32:21.025850","2017-12-28 04:32:21.025850"
30,lbr,"Liberia Football Association",1936,www.lfa.com.lr,47,t,f,f,"2017-12-28 04:32:21.033295","2017-12-28 04:32:21.033295"
31,mli,"Fédération Malienne de Football",1960,,48,t,f,f,"2017-12-28 04:32:21.039335","2017-12-28 04:32:21.039335"
32,mtn,"Fédération de Foot-Ball de la Rép. Islamique de Mauritanie",1961,www.ffrim.org,49,t,f,f,"2017-12-28 04:32:21.045903","2017-12-28 04:32:21.045903"
33,sen,"Fédération Sénégalaise de Football",1960,www.senegalfoot.sn,52,t,f,f,"2017-12-28 04:32:21.054621","2017-12-28 04:32:21.054621"
34,sle,"Sierra Leone Football Association",1960,,53,t,f,f,"2017-12-28 04:32:21.060790","2017-12-28 04:32:21.060790"
35,ben,"Fédération Béninoise de Football",1962,www.febefoot.net,39,t,f,f,"2017-12-28 04:32:21.068348","2017-12-28 04:32:21.068348"
36,bfa,"Fédération Burkinabé de Foot-Ball",1960,www.fasofoot.org,40,t,f,f,"2017-12-28 04:32:21.074527","2017-12-28 04:32:21.074527"
37,civ,"Fédération Ivoirienne de Football",1960,www.fif-ci.com,42,t,f,f,"2017-12-28 04:32:21.081532","2017-12-28 04:32:21.081532"
38,gha,"Ghana Football Association",1957,www.ghanafa.org,44,t,f,f,"2017-12-28 04:32:21.090453","2017-12-28 04:32:21.090453"
39,nig,"Fédération Nigerienne de Football",1961,www.fenifoot.net,50,t,f,f,"2017-12-28 04:32:21.101235","2017-12-28 04:32:21.101235"
40,nga,"Nigeria Football Federation",1945,www.nigeriafootballng.com,51,t,f,f,"2017-12-28 04:32:21.107281","2017-12-28 04:32:21.107281"
41,tog,"Fédération Togolaise de Football",1960,,54,t,f,f,"2017-12-28 04:32:21.114065","2017-12-28 04:32:21.114065"
42,cmr,"Fédération Camerounaise de Football",,,19,t,f,f,"2017-12-28 04:32:21.121777","2017-12-28 04:32:21.121777"
43,cta,"Fédération Centrafricaine de Football",,,20,t,f,f,"2017-12-28 04:32:21.127612","2017-12-28 04:32:21.127612"
44,cha,"Fédération Tchadienne de Football",,,21,t,f,f,"2017-12-28 04:32:21.135341","2017-12-28 04:32:21.135341"
45,cgo,"Fédération Congolaise de Football",,,22,t,f,f,"2017-12-28 04:32:21.141316","2017-12-28 04:32:21.141316"
46,cod,"Fédération Congolaise de Football-Association",,,23,t,f,f,"2017-12-28 04:32:21.147932","2017-12-28 04:32:21.147932"
47,eqg,"Federación Ecuatoguineana de Fútbol",,,24,t,f,f,"2017-12-28 04:32:21.155939","2017-12-28 04:32:21.155939"
48,gab,"Fédération Gabonaise de Football",,,25,t,f,f,"2017-12-28 04:32:21.162060","2017-12-28 04:32:21.162060"
49,stp,"Federação Santomense de Futebol",,,26,t,f,f,"2017-12-28 04:32:21.169454","2017-12-28 04:32:21.169454"
50,bdi,"Fédération de Football du Burundi",,,1,t,f,f,"2017-12-28 04:32:21.175393","2017-12-28 04:32:21.175393"
51,dji,"Fédération Djiboutienne de Football",,,3,t,f,f,"2017-12-28 04:32:21.182217","2017-12-28 04:32:21.182217"
52,eri,"Eritrean National Football Federation",,,4,t,f,f,"2017-12-28 04:32:21.191232","2017-12-28 04:32:21.191232"
53,eth,"Ethiopian Football Federation",,,5,t,f,f,"2017-12-28 04:32:21.198087","2017-12-28 04:32:21.198087"
54,ken,"Football Kenya Federation",,,6,t,f,f,"2017-12-28 04:32:21.204259","2017-12-28 04:32:21.204259"
55,rwa,"Fédération Rwandaise de Football Association",,,11,t,f,f,"2017-12-28 04:32:21.210872","2017-12-28 04:32:21.210872"
56,som,"Somali Football Federation",,,13,t,f,f,"2017-12-28 04:32:21.218611","2017-12-28 04:32:21.218611"
57,ssd,"South Sudan Football Association",,,32,t,f,f,"2017-12-28 04:32:21.226288","2017-12-28 04:32:21.226288"
58,sdn,"Sudan Football Association",,,33,t,f,f,"2017-12-28 04:32:21.233685","2017-12-28 04:32:21.233685"
59,tan,"Tanzania Football Federation",,,14,t,f,f,"2017-12-28 04:32:21.241066","2017-12-28 04:32:21.241066"
60,uga,"Federation of Uganda Football Associations",,,15,t,f,f,"2017-12-28 04:32:21.247677","2017-12-28 04:32:21.247677"
61,zan,"Zanzibar Football Association",,,14,t,f,f,"2017-12-28 04:32:21.254889","2017-12-28 04:32:21.254889"
62,ang,"Federação Angolana de Futebol",,,18,t,f,f,"2017-12-28 04:32:21.259556","2017-12-28 04:32:21.259556"
63,bot,"Botswana Football Association",,,35,t,f,f,"2017-12-28 04:32:21.266968","2017-12-28 04:32:21.266968"
64,com,"Fédération Comorienne de Football",,,2,t,f,f,"2017-12-28 04:32:21.273880","2017-12-28 04:32:21.273880"
65,les,"Lesotho Football Association",,,36,t,f,f,"2017-12-28 04:32:21.282809","2017-12-28 04:32:21.282809"
66,mri,"Mauritius Football Association",,,9,t,f,f,"2017-12-28 04:32:21.289110","2017-12-28 04:32:21.289110"
67,mad,"Fédération Malagasy de Football",,,7,t,f,f,"2017-12-28 04:32:21.295096","2017-12-28 04:32:21.295096"
68,mwi,"Football Association of Malawi",,,8,t,f,f,"2017-12-28 04:32:21.302407","2017-12-28 04:32:21.302407"
69,moz,"Federação Moçambicana de Futebol",,,10,t,f,f,"2017-12-28 04:32:21.308406","2017-12-28 04:32:21.308406"
70,nam,"Namibia Football Association",,,37,t,f,f,"2017-12-28 04:32:21.316413","2017-12-28 04:32:21.316413"
71,sey,"Seychelles Football Federation",,,12,t,f,f,"2017-12-28 04:32:21.322669","2017-12-28 04:32:21.322669"
72,rsa,"South African Football Association",,,34,t,f,f,"2017-12-28 04:32:21.328807","2017-12-28 04:32:21.328807"
73,swz,"National Football Association of Swaziland",,,38,t,f,f,"2017-12-28 04:32:21.337446","2017-12-28 04:32:21.337446"
74,zam,"Football Association of Zambia",,,16,t,f,f,"2017-12-28 04:32:21.343610","2017-12-28 04:32:21.343610"
75,zim,"Zimbabwe Football Association",,,17,t,f,f,"2017-12-28 04:32:21.351421","2017-12-28 04:32:21.351421"
76,reu,"Ligue Réunionnaise de Football",,,200,t,f,f,"2017-12-28 04:32:21.357365","2017-12-28 04:32:21.357365"
77,kaz,"Football Federation of Kazakhstan",1914,www.kff.kz,56,t,f,f,"2017-12-28 04:32:21.361117","2017-12-28 04:32:21.361117"
78,afg,"Afghanistan Football Federation",1922,www.aff.org.af,74,t,f,f,"2017-12-28 04:32:21.367407","2017-12-28 04:32:21.367407"
79,ban,"Bangladesh Football Federation",1972,www.bff.com.bd,69,t,f,f,"2017-12-28 04:32:21.373705","2017-12-28 04:32:21.373705"
80,bhu,"Bhutan Football Federation",1983,,72,t,f,f,"2017-12-28 04:32:21.381915","2017-12-28 04:32:21.381915"
81,ind,"All India Football Federation",1937,www.the-aiff.com,68,t,f,f,"2017-12-28 04:32:21.388385","2017-12-28 04:32:21.388385"
82,kgz,"Football Federation of Kyrgyz Republic",,,57,t,f,f,"2017-12-28 04:32:21.394357","2017-12-28 04:32:21.394357"
83,mdv,"Football Association of Maldives",,,73,t,f,f,"2017-12-28 04:32:21.401811","2017-12-28 04:32:21.401811"
84,nep,"All Nepal Football Association",,,70,t,f,f,"2017-12-28 04:32:21.407869","2017-12-28 04:32:21.407869"
85,pak,"Pakistan Football Federation",,,67,t,f,f,"2017-12-28 04:32:21.416027","2017-12-28 04:32:21.416027"
86,sri,"Football Federation of Sri Lanka",,,71,t,f,f,"2017-12-28 04:32:21.422068","2017-12-28 04:32:21.422068"
87,tjk,"Tajikistan Football Federation",,,58,t,f,f,"2017-12-28 04:32:21.428179","2017-12-28 04:32:21.428179"
88,tkm,"Football Federation of Turkmenistan",,,59,t,f,f,"2017-12-28 04:32:21.435635","2017-12-28 04:32:21.435635"
89,uzb,"Uzbekistan Football Federation",,,60,t,f,f,"2017-12-28 04:32:21.441470","2017-12-28 04:32:21.441470"
90,chn,"Football Association of the People's Republic of China",,,64,t,f,f,"2017-12-28 04:32:21.449676","2017-12-28 04:32:21.449676"
91,hkg,"Hong Kong Football Association",,,206,t,f,f,"2017-12-28 04:32:21.458757","2017-12-28 04:32:21.458757"
92,jpn,"Japan Football Association",,,61,t,f,f,"2017-12-28 04:32:21.466199","2017-12-28 04:32:21.466199"
