id,assoc1_id,assoc2_id,created_at,updated_at
1,1,2,"2017-12-28 04:32:20.880881","2017-12-28 04:32:20.880881"
2,1,3,"2017-12-28 04:32:20.885428","2017-12-28 04:32:20.885428"
3,1,4,"2017-12-28 04:32:20.890746","2017-12-28 04:32:20.890746"
4,1,5,"2017-12-28 04:32:20.895177","2017-12-28 04:32:20.895177"
5,1,6,"2017-12-28 04:32:20.900604","2017-12-28 04:32:20.900604"
6,1,7,"2017-12-28 04:32:20.904574","2017-12-28 04:32:20.904574"
7,4,8,"2017-12-28 04:32:20.907609","2017-12-28 04:32:20.907609"
8,4,9,"2017-12-28 04:32:20.910948","2017-12-28 04:32:20.910948"
9,4,10,"2017-12-28 04:32:20.914074","2017-12-28 04:32:20.914074"
10,5,11,"2017-12-28 04:32:20.918185","2017-12-28 04:32:20.918185"
11,5,12,"2017-12-28 04:32:20.923077","2017-12-28 04:32:20.923077"
12,5,13,"2017-12-28 04:32:20.927554","2017-12-28 04:32:20.927554"
13,5,14,"2017-12-28 04:32:20.932617","2017-12-28 04:32:20.932617"
14,5,15,"2017-12-28 04:32:20.936849","2017-12-28 04:32:20.936849"
15,6,16,"2017-12-28 04:32:20.940799","2017-12-28 04:32:20.940799"
16,6,17,"2017-12-28 04:32:20.945734","2017-12-28 04:32:20.945734"
17,6,18,"2017-12-28 04:32:20.949877","2017-12-28 04:32:20.949877"
18,6,19,"2017-12-28 04:32:20.954179","2017-12-28 04:32:20.954179"
19,1,21,"2017-12-28 04:32:20.963513","2017-12-28 04:32:20.963513"
20,5,21,"2017-12-28 04:32:20.966001","2017-12-28 04:32:20.966001"
21,14,21,"2017-12-28 04:32:20.967456","2017-12-28 04:32:20.967456"
22,20,21,"2017-12-28 04:32:20.968831","2017-12-28 04:32:20.968831"
23,1,22,"2017-12-28 04:32:20.971989","2017-12-28 04:32:20.971989"
24,5,22,"2017-12-28 04:32:20.973349","2017-12-28 04:32:20.973349"
25,14,22,"2017-12-28 04:32:20.974735","2017-12-28 04:32:20.974735"
26,20,22,"2017-12-28 04:32:20.976421","2017-12-28 04:32:20.976421"
27,1,23,"2017-12-28 04:32:20.980221","2017-12-28 04:32:20.980221"
28,5,23,"2017-12-28 04:32:20.981540","2017-12-28 04:32:20.981540"
29,14,23,"2017-12-28 04:32:20.982824","2017-12-28 04:32:20.982824"
30,20,23,"2017-12-28 04:32:20.984254","2017-12-28 04:32:20.984254"
31,1,24,"2017-12-28 04:32:20.988765","2017-12-28 04:32:20.988765"
32,5,24,"2017-12-28 04:32:20.990520","2017-12-28 04:32:20.990520"
33,14,24,"2017-12-28 04:32:20.991909","2017-12-28 04:32:20.991909"
34,20,24,"2017-12-28 04:32:20.993279","2017-12-28 04:32:20.993279"
35,1,25,"2017-12-28 04:32:20.997693","2017-12-28 04:32:20.997693"
36,5,25,"2017-12-28 04:32:20.999581","2017-12-28 04:32:20.999581"
37,14,25,"2017-12-28 04:32:21.000921","2017-12-28 04:32:21.000921"
38,20,25,"2017-12-28 04:32:21.002237","2017-12-28 04:32:21.002237"
39,1,26,"2017-12-28 04:32:21.005485","2017-12-28 04:32:21.005485"
40,5,26,"2017-12-28 04:32:21.006950","2017-12-28 04:32:21.006950"
41,13,26,"2017-12-28 04:32:21.008351","2017-12-28 04:32:21.008351"
42,1,27,"2017-12-28 04:32:21.012169","2017-12-28 04:32:21.012169"
