id,name,key,code,alt_names,country_id,state_id,part_id,county_id,pop,area,created_at,updated_at
1,Bujumbura,bujumbura,,,1,,,,,,"2017-12-28 04:32:12.800341","2017-12-28 04:32:12.800341"
2,Moroni,moroni,,,2,,,,,,"2017-12-28 04:32:12.846020","2017-12-28 04:32:12.846020"
3,Djibouti,djibouti,,,3,,,,,,"2017-12-28 04:32:12.856323","2017-12-28 04:32:12.856323"
4,Asmara,asmara,,,4,,,,,,"2017-12-28 04:32:12.868130","2017-12-28 04:32:12.868130"
5,"Addis Ababa",addisababa,,,5,,,,,,"2017-12-28 04:32:12.876231","2017-12-28 04:32:12.876231"
6,Nairobi,nairobi,,,6,,,,,,"2017-12-28 04:32:12.887277","2017-12-28 04:32:12.887277"
7,Antananarivo,antananarivo,,,7,,,,,,"2017-12-28 04:32:12.899021","2017-12-28 04:32:12.899021"
8,Lilongwe,lilongwe,,,8,,,,,,"2017-12-28 04:32:12.907782","2017-12-28 04:32:12.907782"
9,"Port Louis",portlouis,,,9,,,,,,"2017-12-28 04:32:12.918730","2017-12-28 04:32:12.918730"
10,Maputo,maputo,,,10,,,,,,"2017-12-28 04:32:12.927512","2017-12-28 04:32:12.927512"
11,Kigali,kigali,,,11,,,,,,"2017-12-28 04:32:12.938773","2017-12-28 04:32:12.938773"
12,Victoria,victoria,,,12,,,,,,"2017-12-28 04:32:12.949492","2017-12-28 04:32:12.949492"
13,Mogadishu,mogadishu,,,13,,,,,,"2017-12-28 04:32:12.958279","2017-12-28 04:32:12.958279"
14,Dodoma,dodoma,,,14,,,,,,"2017-12-28 04:32:12.971173","2017-12-28 04:32:12.971173"
15,Kampala,kampala,,,15,,,,,,"2017-12-28 04:32:12.980512","2017-12-28 04:32:12.980512"
16,Lusaka,lusaka,,,16,,,,,,"2017-12-28 04:32:12.990872","2017-12-28 04:32:12.990872"
17,Harare,harare,,,17,,,,,,"2017-12-28 04:32:13.003382","2017-12-28 04:32:13.003382"
18,Luanda,luanda,,,18,,,,,,"2017-12-28 04:32:13.013293","2017-12-28 04:32:13.013293"
19,"Yaoundé",yaounde,,,19,,,,,,"2017-12-28 04:32:13.023592","2017-12-28 04:32:13.023592"
20,Bangui,bangui,,,20,,,,,,"2017-12-28 04:32:13.036630","2017-12-28 04:32:13.036630"
21,"N'Djamena",ndjamena,,,21,,,,,,"2017-12-28 04:32:13.046842","2017-12-28 04:32:13.046842"
22,Brazzaville,brazzaville,,,22,,,,,,"2017-12-28 04:32:13.058612","2017-12-28 04:32:13.058612"
23,Kinshasa,kinshasa,,,23,,,,,,"2017-12-28 04:32:13.070290","2017-12-28 04:32:13.070290"
24,Malabo,malabo,,,24,,,,,,"2017-12-28 04:32:13.079645","2017-12-28 04:32:13.079645"
25,Libreville,libreville,,,25,,,,,,"2017-12-28 04:32:13.091549","2017-12-28 04:32:13.091549"
26,"São Tomé",saotome,,,26,,,,,,"2017-12-28 04:32:13.103093","2017-12-28 04:32:13.103093"
27,Juba,juba,,,32,,,,,,"2017-12-28 04:32:13.146031","2017-12-28 04:32:13.146031"
28,Khartoum,khartoum,,,33,,,,,,"2017-12-28 04:32:13.157647","2017-12-28 04:32:13.157647"
29,Gaborone,gaborone,,,35,,,,,,"2017-12-28 04:32:13.173535","2017-12-28 04:32:13.173535"
30,Maseru,maseru,,,36,,,,,,"2017-12-28 04:32:13.184469","2017-12-28 04:32:13.184469"
31,Windhoek,windhoek,,,37,,,,,,"2017-12-28 04:32:13.200446","2017-12-28 04:32:13.200446"
32,Lobamba,lobamba,,,38,,,,,,"2017-12-28 04:32:13.209773","2017-12-28 04:32:13.209773"
33,Porto-Novo,portonovo,,,39,,,,,,"2017-12-28 04:32:13.222090","2017-12-28 04:32:13.222090"
34,Ouagadougou,ouagadougou,,,40,,,,,,"2017-12-28 04:32:13.232425","2017-12-28 04:32:13.232425"
35,Praia,praia,,,41,,,,,,"2017-12-28 04:32:13.242708","2017-12-28 04:32:13.242708"
36,Conakry,conakry,,,45,,,,,,"2017-12-28 04:32:13.274994","2017-12-28 04:32:13.274994"
37,Bissau,bissau,,,46,,,,,,"2017-12-28 04:32:13.289332","2017-12-28 04:32:13.289332"
38,Monrovia,monrovia,,,47,,,,,,"2017-12-28 04:32:13.304982","2017-12-28 04:32:13.304982"
39,Bamako,bamako,,,48,,,,,,"2017-12-28 04:32:13.321322","2017-12-28 04:32:13.321322"
40,Niamey,niamey,,,50,,,,,,"2017-12-28 04:32:13.346198","2017-12-28 04:32:13.346198"
41,Dakar,dakar,,,52,,,,,,"2017-12-28 04:32:13.371312","2017-12-28 04:32:13.371312"
42,Freetown,freetown,,,53,,,,,,"2017-12-28 04:32:13.383677","2017-12-28 04:32:13.383677"
43,"Lomé",lome,,,54,,,,,,"2017-12-28 04:32:13.393947","2017-12-28 04:32:13.393947"
44,Astana,astana,,,56,,,,,,"2017-12-28 04:32:13.412861","2017-12-28 04:32:13.412861"
45,Bishkek,bishkek,,,57,,,,,,"2017-12-28 04:32:13.424992","2017-12-28 04:32:13.424992"
46,Dushanbe,dushanbe,,,58,,,,,,"2017-12-28 04:32:13.436248","2017-12-28 04:32:13.436248"
47,Ashgabat,ashgabat,,,59,,,,,,"2017-12-28 04:32:13.445383","2017-12-28 04:32:13.445383"
48,Tashkent,tashkent,,,60,,,,,,"2017-12-28 04:32:13.456566","2017-12-28 04:32:13.456566"
49,Tokyo,tokyo,,,61,,,,,,"2017-12-28 04:32:13.467085","2017-12-28 04:32:13.467085"
50,Pyongyang,pyongyang,,,62,,,,,,"2017-12-28 04:32:13.475327","2017-12-28 04:32:13.475327"
51,Seoul,seoul,,,63,,,,,,"2017-12-28 04:32:13.485592","2017-12-28 04:32:13.485592"
52,Beijing,beijing,,,64,,,,,,"2017-12-28 04:32:13.493888","2017-12-28 04:32:13.493888"
53,Taipei,taipei,,,65,,,,,,"2017-12-28 04:32:13.503621","2017-12-28 04:32:13.503621"
54,"Ulan Bator",ulanbator,,,66,,,,,,"2017-12-28 04:32:13.513180","2017-12-28 04:32:13.513180"
55,Islamabad,islamabad,,,67,,,,,,"2017-12-28 04:32:13.522747","2017-12-28 04:32:13.522747"
56,"New Delhi",newdelhi,,,68,,,,,,"2017-12-28 04:32:13.532376","2017-12-28 04:32:13.532376"
