id,key,league_id,season_id,start_at,end_at,team3,sources,config,created_at,updated_at
1,world.quali.africa.2014,5,30,2011-11-11,,t,"africa_i,africa_ii,africa_playoffs",africa.yml,"2017-12-28 04:32:22.917726","2017-12-28 04:32:22.917726"
2,world.quali.asia.2014,6,30,2011-06-29,,t,"asia_i,asia_ii,asia_iii,asia_iv",asia.yml,"2017-12-28 04:32:24.545742","2017-12-28 04:32:24.545742"
3,world.quali.europe.2014,2,30,2012-09-07,,t,"europe,europe_a,europe_b,europe_c,europe_d,europe_e,europe_f,europe_g,europe_h,europe_i,europe_playoffs",europe.yml,"2017-12-28 04:32:25.948357","2017-12-28 04:32:25.948357"
4,world.quali.northamerica.2014,3,30,2011-06-15,,t,"north_america_i,north_america_ii,north_america_iii,north_america_hex",north_america.yml,"2017-12-28 04:32:28.563624","2017-12-28 04:32:28.563624"
5,world.quali.pacific.2014,7,30,2011-11-22,,t,"pacific_i,pacific_ii,pacific_iii",pacific.yml,"2017-12-28 04:32:29.991486","2017-12-28 04:32:29.991486"
6,world.quali.playoffs.2014,8,30,2013-11-13,,t,playoffs,playoffs.yml,"2017-12-28 04:32:30.329981","2017-12-28 04:32:30.329981"
7,world.quali.southamerica.2014,4,30,2011-10-07,,t,south_america,south_america.yml,"2017-12-28 04:32:30.385405","2017-12-28 04:32:30.385405"
8,world.2014,1,30,2014-06-12,,t,"cup,cup_finals",cup.yml,"2017-12-28 04:32:30.993821","2017-12-28 04:32:30.993821"
9,euro.2008,10,36,2008-06-07,,f,euro,euro.yml,"2017-12-28 04:32:32.866788","2017-12-28 04:32:32.866788"
10,euro.2012,10,32,2012-06-07,,f,euro,euro.yml,"2017-12-28 04:32:33.194763","2017-12-28 04:32:33.194763"
11,euro.2016,10,28,2016-06-10,,f,euro,euro.yml,"2017-12-28 04:32:33.532704","2017-12-28 04:32:33.532704"
12,africa.2013,15,31,2013-01-19,,t,cup,cup.yml,"2017-12-28 04:32:34.038218","2017-12-28 04:32:34.038218"
13,northamerica.2011,13,33,2011-06-05,,t,gold,gold.yml,"2017-12-28 04:32:34.316571","2017-12-28 04:32:34.316571"
14,northamerica.2013,13,31,2013-07-07,,t,gold,gold.yml,"2017-12-28 04:32:34.582157","2017-12-28 04:32:34.582157"
15,southamerica.2011,12,33,2011-07-01,,t,copa,copa.yml,"2017-12-28 04:32:34.867559","2017-12-28 04:32:34.867559"
16,southamerica.2015,12,29,2015-07-01,,t,copa,copa.yml,"2017-12-28 04:32:35.179633","2017-12-28 04:32:35.179633"
17,world.confed.2009,9,35,2009-06-14,,t,confed,confed.yml,"2017-12-28 04:32:35.214320","2017-12-28 04:32:35.214320"
18,world.confed.2013,9,31,2013-06-15,,t,confed,confed.yml,"2017-12-28 04:32:35.398263","2017-12-28 04:32:35.398263"
19,world.confed.2017,9,27,2017-06-17,,t,confed,confed.yml,"2017-12-28 04:32:35.578216","2017-12-28 04:32:35.578216"
20,en.2017/18,17,4,2017-07-01,,t,,,"2017-12-28 04:32:37.677218","2017-12-28 04:32:37.677218"
21,en.2016/17,17,5,2016-07-01,,t,,,"2017-12-28 04:32:40.585252","2017-12-28 04:32:40.585252"
22,en.2015/16,17,6,2015-07-01,,t,,,"2017-12-28 04:32:44.394512","2017-12-28 04:32:44.394512"
23,en.2.2015/16,18,6,2015-07-01,,t,,,"2017-12-28 04:32:47.129233","2017-12-28 04:32:47.129233"
24,en.3.2015/16,19,6,2015-07-01,,t,,,"2017-12-28 04:32:48.622881","2017-12-28 04:32:48.622881"
25,en.4.2015/16,20,6,2015-07-01,,t,,,"2017-12-28 04:32:50.059936","2017-12-28 04:32:50.059936"
26,en.2014/15,17,7,2014-07-01,,t,,,"2017-12-28 04:32:51.279128","2017-12-28 04:32:51.279128"
27,en.2.2014/15,18,7,2014-07-01,,t,,,"2017-12-28 04:32:53.904384","2017-12-28 04:32:53.904384"
28,en.3.2014/15,19,7,2014-07-01,,t,,,"2017-12-28 04:32:55.679336","2017-12-28 04:32:55.679336"
