id,event_id,ground_id,created_at,updated_at
1,8,172,"2017-12-28 04:32:31.016860","2017-12-28 04:32:31.016860"
2,8,173,"2017-12-28 04:32:31.018156","2017-12-28 04:32:31.018156"
3,8,174,"2017-12-28 04:32:31.018808","2017-12-28 04:32:31.018808"
4,8,175,"2017-12-28 04:32:31.019377","2017-12-28 04:32:31.019377"
5,8,176,"2017-12-28 04:32:31.019898","2017-12-28 04:32:31.019898"
6,8,178,"2017-12-28 04:32:31.020443","2017-12-28 04:32:31.020443"
7,8,179,"2017-12-28 04:32:31.021149","2017-12-28 04:32:31.021149"
8,8,180,"2017-12-28 04:32:31.021885","2017-12-28 04:32:31.021885"
9,8,181,"2017-12-28 04:32:31.022913","2017-12-28 04:32:31.022913"
10,8,182,"2017-12-28 04:32:31.024321","2017-12-28 04:32:31.024321"
11,8,184,"2017-12-28 04:32:31.025147","2017-12-28 04:32:31.025147"
12,8,185,"2017-12-28 04:32:31.025750","2017-12-28 04:32:31.025750"
13,9,13,"2017-12-28 04:32:32.880097","2017-12-28 04:32:32.880097"
14,9,35,"2017-12-28 04:32:32.880740","2017-12-28 04:32:32.880740"
15,9,38,"2017-12-28 04:32:32.881289","2017-12-28 04:32:32.881289"
16,9,40,"2017-12-28 04:32:32.881803","2017-12-28 04:32:32.881803"
17,9,47,"2017-12-28 04:32:32.882344","2017-12-28 04:32:32.882344"
18,9,48,"2017-12-28 04:32:32.882872","2017-12-28 04:32:32.882872"
19,9,50,"2017-12-28 04:32:32.883409","2017-12-28 04:32:32.883409"
20,10,115,"2017-12-28 04:32:33.206212","2017-12-28 04:32:33.206212"
21,10,116,"2017-12-28 04:32:33.206884","2017-12-28 04:32:33.206884"
22,10,117,"2017-12-28 04:32:33.207602","2017-12-28 04:32:33.207602"
23,10,122,"2017-12-28 04:32:33.208185","2017-12-28 04:32:33.208185"
24,10,123,"2017-12-28 04:32:33.208745","2017-12-28 04:32:33.208745"
25,10,124,"2017-12-28 04:32:33.209358","2017-12-28 04:32:33.209358"
26,10,125,"2017-12-28 04:32:33.209916","2017-12-28 04:32:33.209916"
27,11,99,"2017-12-28 04:32:33.550480","2017-12-28 04:32:33.550480"
28,11,100,"2017-12-28 04:32:33.552036","2017-12-28 04:32:33.552036"
29,11,101,"2017-12-28 04:32:33.553345","2017-12-28 04:32:33.553345"
30,11,103,"2017-12-28 04:32:33.554558","2017-12-28 04:32:33.554558"
31,11,104,"2017-12-28 04:32:33.555839","2017-12-28 04:32:33.555839"
32,11,106,"2017-12-28 04:32:33.557069","2017-12-28 04:32:33.557069"
33,11,107,"2017-12-28 04:32:33.558121","2017-12-28 04:32:33.558121"
34,18,172,"2017-12-28 04:32:35.405410","2017-12-28 04:32:35.405410"
35,18,173,"2017-12-28 04:32:35.409690","2017-12-28 04:32:35.409690"
36,18,176,"2017-12-28 04:32:35.410319","2017-12-28 04:32:35.410319"
37,18,184,"2017-12-28 04:32:35.410928","2017-12-28 04:32:35.410928"
38,18,175,"2017-12-28 04:32:35.411546","2017-12-28 04:32:35.411546"
39,18,178,"2017-12-28 04:32:35.412138","2017-12-28 04:32:35.412138"
