id,key,round_id,pos,group_id,team1_id,team2_id,play_at,postponed,play_at_v2,play_at_v3,ground_id,city_id,knockout,home,score1,score2,score1et,score2et,score1p,score2p,score1i,score2i,score1ii,score2ii,next_game_id,prev_game_id,winner,winner90,created_at,updated_at
1,,1,1,,45,30,"2011-11-11 12:00:00",f,,,,,f,t,1,0,,,,,,,,,,,1,1,"2017-12-28 04:32:23.022844","2017-12-28 04:32:23.022844"
2,,1,2,,27,47,"2011-11-11 12:00:00",f,,,,,f,t,2,0,,,,,,,,,,,1,1,"2017-12-28 04:32:23.029336","2017-12-28 04:32:23.029336"
3,,1,3,,24,39,"2011-11-11 12:00:00",f,,,,,f,t,1,2,,,,,,,,,,,2,2,"2017-12-28 04:32:23.035501","2017-12-28 04:32:23.035501"
4,,1,4,,51,34,"2011-11-11 12:00:00",f,,,,,f,t,0,3,,,,,,,,,,,2,2,"2017-12-28 04:32:23.041269","2017-12-28 04:32:23.041269"
5,,1,5,,32,35,"2011-11-11 12:00:00",f,,,,,f,t,1,1,,,,,,,,,,,0,0,"2017-12-28 04:32:23.047263","2017-12-28 04:32:23.047263"
6,,1,6,,29,25,"2011-11-11 12:00:00",f,,,,,f,t,0,5,,,,,,,,,,,2,2,"2017-12-28 04:32:23.052466","2017-12-28 04:32:23.052466"
7,,1,7,,53,26,"2011-11-11 12:00:00",f,,,,,f,t,1,3,,,,,,,,,,,2,2,"2017-12-28 04:32:23.059388","2017-12-28 04:32:23.059388"
8,,1,8,,9,21,"2011-11-11 12:00:00",f,,,,,f,t,1,1,,,,,,,,,,,0,0,"2017-12-28 04:32:23.065202","2017-12-28 04:32:23.065202"
9,,1,9,,44,49,"2011-11-11 12:00:00",f,,,,,f,t,0,1,,,,,,,,,,,2,2,"2017-12-28 04:32:23.070880","2017-12-28 04:32:23.070880"
10,,1,10,,31,50,"2011-11-11 12:00:00",f,,,,,f,t,0,4,,,,,,,,,,,2,2,"2017-12-28 04:32:23.077440","2017-12-28 04:32:23.077440"
11,,1,11,,46,10,"2011-11-11 12:00:00",f,,,,,f,t,,,,,,,,,,,,,,,"2017-12-28 04:32:23.084681","2017-12-28 04:32:23.084681"
12,,1,12,,36,33,"2011-11-12 12:00:00",f,,,,,f,t,0,0,,,,,,,,,,,0,0,"2017-12-28 04:32:23.090923","2017-12-28 04:32:23.090923"
13,,2,1,,30,45,"2011-11-15 12:00:00",f,,,,,t,t,2,2,,,,,,,,,,,0,0,"2017-12-28 04:32:23.100492","2017-12-28 04:32:23.100492"
14,,2,2,,47,27,"2011-11-15 12:00:00",f,,,,,t,t,2,1,,,,,,,,,,,1,1,"2017-12-28 04:32:23.106126","2017-12-28 04:32:23.106126"
15,,2,3,,39,24,"2011-11-15 12:00:00",f,,,,,t,t,0,1,,,,,,,,,,,2,2,"2017-12-28 04:32:23.112161","2017-12-28 04:32:23.112161"
16,,2,4,,34,51,"2011-11-15 12:00:00",f,,,,,t,t,4,0,,,,,,,,,,,1,1,"2017-12-28 04:32:23.118268","2017-12-28 04:32:23.118268"
