id,person_id,game_id,team_id,minute,offset,score1,score2,penalty,owngoal,created_at,updated_at
1,1,803,154,11,0,0,1,f,t,"2017-12-28 04:32:31.267482","2017-12-28 04:32:31.267482"
2,2,803,211,29,0,1,1,f,f,"2017-12-28 04:32:31.272041","2017-12-28 04:32:31.272041"
3,2,803,211,71,0,2,1,t,f,"2017-12-28 04:32:31.274743","2017-12-28 04:32:31.274743"
4,3,803,211,90,1,3,1,f,f,"2017-12-28 04:32:31.281152","2017-12-28 04:32:31.281152"
5,4,804,190,61,0,1,0,f,f,"2017-12-28 04:32:31.302528","2017-12-28 04:32:31.302528"
6,5,806,154,11,0,0,1,f,f,"2017-12-28 04:32:31.333184","2017-12-28 04:32:31.333184"
7,6,806,154,48,0,0,2,f,f,"2017-12-28 04:32:31.337182","2017-12-28 04:32:31.337182"
8,7,806,154,61,0,0,3,f,f,"2017-12-28 04:32:31.340689","2017-12-28 04:32:31.340689"
9,7,806,154,73,0,0,4,f,f,"2017-12-28 04:32:31.342638","2017-12-28 04:32:31.342638"
10,2,807,211,17,0,0,1,f,f,"2017-12-28 04:32:31.363445","2017-12-28 04:32:31.363445"
11,8,807,22,26,0,1,1,f,f,"2017-12-28 04:32:31.368547","2017-12-28 04:32:31.368547"
12,2,807,211,35,0,1,2,f,f,"2017-12-28 04:32:31.370257","2017-12-28 04:32:31.370257"
13,9,807,211,49,0,1,3,f,f,"2017-12-28 04:32:31.374206","2017-12-28 04:32:31.374206"
14,10,807,211,84,0,1,4,f,f,"2017-12-28 04:32:31.379229","2017-12-28 04:32:31.379229"
15,11,808,190,72,0,0,1,f,f,"2017-12-28 04:32:31.400232","2017-12-28 04:32:31.400232"
16,12,808,190,75,0,0,2,f,f,"2017-12-28 04:32:31.404224","2017-12-28 04:32:31.404224"
17,13,808,190,82,0,0,3,f,f,"2017-12-28 04:32:31.408049","2017-12-28 04:32:31.408049"
18,6,808,154,87,0,1,3,f,f,"2017-12-28 04:32:31.410606","2017-12-28 04:32:31.410606"
19,14,809,129,27,0,1,0,t,f,"2017-12-28 04:32:31.433038","2017-12-28 04:32:31.433038"
20,15,809,137,44,0,1,1,f,f,"2017-12-28 04:32:31.437012","2017-12-28 04:32:31.437012"
21,16,809,137,53,0,1,2,f,f,"2017-12-28 04:32:31.440587","2017-12-28 04:32:31.440587"
22,17,809,137,65,0,1,3,f,f,"2017-12-28 04:32:31.445974","2017-12-28 04:32:31.445974"
23,15,809,137,72,0,1,4,f,f,"2017-12-28 04:32:31.450432","2017-12-28 04:32:31.450432"
24,16,809,137,80,0,1,5,f,f,"2017-12-28 04:32:31.452897","2017-12-28 04:32:31.452897"
25,18,810,212,12,0,1,0,f,f,"2017-12-28 04:32:31.470523","2017-12-28 04:32:31.470523"
26,19,810,212,14,0,2,0,f,f,"2017-12-28 04:32:31.474803","2017-12-28 04:32:31.474803"
27,20,810,193,35,0,2,1,f,f,"2017-12-28 04:32:31.479285","2017-12-28 04:32:31.479285"
