id,key,title,synonyms,country_id,city_id,since,capacity,address,created_at,updated_at
1,stadedemarrakech,"Stade de Marrakech",,29,174,,45240,,"2017-12-28 04:32:19.740751","2017-12-28 04:32:19.745777"
2,stadeadrar,"Stade Adrar",,29,175,,45480,,"2017-12-28 04:32:19.747522","2017-12-28 04:32:19.752901"
3,ellisparkstadium,"Ellis Park Stadium",,34,176,,55686,,"2017-12-28 04:32:19.755293","2017-12-28 04:32:19.759535"
4,soccercity,"Soccer City",,34,176,,84490,,"2017-12-28 04:32:19.760998","2017-12-28 04:32:19.764285"
5,capetownstadium,"Cape Town Stadium",,34,177,,64100,,"2017-12-28 04:32:19.767644","2017-12-28 04:32:19.772175"
6,mosesmabhidastadium,"Moses Mabhida Stadium",,34,178,,62760,,"2017-12-28 04:32:19.773626","2017-12-28 04:32:19.778460"
7,loftusversfeldstadium,"Loftus Versfeld Stadium",,34,179,,42858,,"2017-12-28 04:32:19.780348","2017-12-28 04:32:19.785628"
8,nelsonmandelabaystadium,"Nelson Mandela Bay Stadium",,34,180,,42486,,"2017-12-28 04:32:19.787255","2017-12-28 04:32:19.791193"
9,petermokabastadium,"Peter Mokaba Stadium",,34,181,,41733,,"2017-12-28 04:32:19.792665","2017-12-28 04:32:19.796907"
10,mbombelastadium,"Mbombela Stadium",,34,182,,40929,,"2017-12-28 04:32:19.799412","2017-12-28 04:32:19.803465"
11,freestatestadium,"Free State Stadium",,34,183,,40911,,"2017-12-28 04:32:19.804896","2017-12-28 04:32:19.808989"
12,royalbafokengstadium,"Royal Bafokeng Stadium",,34,184,,38646,,"2017-12-28 04:32:19.810945","2017-12-28 04:32:19.817011"
13,happelstadion,Happel-Stadion,Ernst-Happel-Stadion|Praterstadion,107,91,1931,53295,,"2017-12-28 04:32:19.819585","2017-12-28 04:32:19.822580"
14,hanappistadion,Hanappi-Stadion,Gerhard-Hanappi-Stadion|Weststadion,107,91,1977,18456,,"2017-12-28 04:32:19.824075","2017-12-28 04:32:19.827223"
15,horrstadion,Horr-Stadion,"Franz-Horr-Stadion|$Generali$ Arena",107,91,1925,13135,,"2017-12-28 04:32:19.828788","2017-12-28 04:32:19.832975"
16,hohewarte,"Hohe Warte","Stadion Hohe Warte",107,91,,6000,,"2017-12-28 04:32:19.834518","2017-12-28 04:32:19.837548"
17,wienersportclubplatz,"Wiener Sportclub-Platz",,107,91,1904,8700,,"2017-12-28 04:32:19.839150","2017-12-28 04:32:19.842136"
18,simmeringerhad,"Simmeringer Had",,107,91,1920,5000,,"2017-12-28 04:32:19.844057","2017-12-28 04:32:19.848734"
19,upcarena,$UPC$-Arena,,107,185,1997,15323,,"2017-12-28 04:32:19.850454","2017-12-28 04:32:19.854437"
20,gruabn,Gruabn,,107,185,1919,10500,,"2017-12-28 04:32:19.856005","2017-12-28 04:32:19.858990"
21,franzfeketestadion,Franz-Fekete-Stadion,,107,186,1950,12000,,"2017-12-28 04:32:19.860555","2017-12-28 04:32:19.865975"
22,stadionhartberg,"Stadion Hartberg",,107,187,,6000,,"2017-12-28 04:32:19.867556","2017-12-28 04:32:19.871683"
23,linzerstadion,"Linzer Stadion","Stadion auf der Gugl",107,188,1952,20104,,"2017-12-28 04:32:19.873215","2017-12-28 04:32:19.877817"
24,keinesorgenarena,"$Keine Sorgen$ Arena",,107,189,2003,7334,,"2017-12-28 04:32:19.880603","2017-12-28 04:32:19.885307"
25,waldstadion,Waldstadion,$Commerzbank$-Arena,110,233,,48132,,"2017-12-28 04:32:19.886767","2017-12-28 04:32:20.188833"
26,vorwaertsstadion,"Vorwärts-Stadion",,107,191,,10000,,"2017-12-28 04:32:19.892180","2017-12-28 04:32:19.896233"
27,wienerneustaedterstadion,"Wiener Neustädter Stadion","Stadion Wiener Neustadt",107,192,1955,7036,,"2017-12-28 04:32:19.899094","2017-12-28 04:32:19.903329"
28,bundesstadionsuedstadt,"Bundesstadion Südstadt",,107,193,1967,12000,,"2017-12-28 04:32:19.905012","2017-12-28 04:32:19.909129"
29,nvarena,$NV$-Arena,"Niederösterreich-Arena",107,194,2012,8000,,"2017-12-28 04:32:19.911422","2017-12-28 04:32:19.917224"
30,voithplatz,Voithplatz,,107,194,,8000,,"2017-12-28 04:32:19.918693","2017-12-28 04:32:19.921764"
31,sportplatzhorn,"Sportplatz Horn",,107,195,,3000,,"2017-12-28 04:32:19.923174","2017-12-28 04:32:19.927403"
32,seppdollstadion,Sepp-Doll-Stadion,Kremserstadion,107,196,1923,10000,,"2017-12-28 04:32:19.928960","2017-12-28 04:32:19.934475"
33,pappelstadion,Pappelstadion,,107,197,1952,15700,,"2017-12-28 04:32:19.936160","2017-12-28 04:32:19.940338"
34,heidebodenstadion,Heidebodenstadion,,107,198,,5000,,"2017-12-28 04:32:19.941813","2017-12-28 04:32:19.949244"
35,woertherseestadion,"Wörtherseestadion",$Hypo$-Arena,107,199,2008,32000,,"2017-12-28 04:32:19.950906","2017-12-28 04:32:19.955058"
36,lavanttalarena,Lavanttal-Arena,,107,200,2003,7700,,"2017-12-28 04:32:19.956532","2017-12-28 04:32:19.961487"
37,goldeckstadion,Goldeckstadion,,107,201,,6500,,"2017-12-28 04:32:19.963210","2017-12-28 04:32:19.967342"
38,walssiezenheimstadion,Wals-Siezenheim-Stadion,"$Red Bull$ Arena",107,202,2003,31020,,"2017-12-28 04:32:19.968947","2017-12-28 04:32:19.973062"
39,untersbergarena,Untersberg-Arena,,107,203,1989,2955,,"2017-12-28 04:32:19.974648","2017-12-28 04:32:19.980056"
40,tivoli,Tivoli,"Tivoli-Neu Stadion",107,204,2000,17400,,"2017-12-28 04:32:19.982789","2017-12-28 04:32:19.986830"
41,kufsteinarena,"Kufstein Arena",Grenzlandstadion,107,205,1925,5000,,"2017-12-28 04:32:19.988345","2017-12-28 04:32:19.992451"
42,alpenstadion,Alpenstadion,,107,206,,5500,,"2017-12-28 04:32:19.994447","2017-12-28 04:32:19.998506"
43,schnabelholz,Schnabelholz,"$Cashpoint$ Arena",107,207,1990,8500,,"2017-12-28 04:32:20.000030","2017-12-28 04:32:20.004350"
44,reichshofstadion,Reichshofstadion,,107,208,1953,8800,,"2017-12-28 04:32:20.005826","2017-12-28 04:32:20.011178"
45,bodenseestadion,Bodenseestadion,$Casino$-Stadion,107,209,1951,12000,,"2017-12-28 04:32:20.013140","2017-12-28 04:32:20.019320"
46,stadionbirkenwiese,"Stadion Birkenwiese",,107,210,1935,12000,,"2017-12-28 04:32:20.020807","2017-12-28 04:32:20.024959"
47,stadedegeneve,"Stade de Genève",,137,211,,31228,,"2017-12-28 04:32:20.027662","2017-12-28 04:32:20.031979"
48,stjakobpark,"St. Jakob-Park",,137,212,,42000,,"2017-12-28 04:32:20.033484","2017-12-28 04:32:20.037513"
