id,event_id,title,pos,created_at,updated_at
1,1,"Group A",1,"2017-12-28 04:32:23.198616","2017-12-28 04:32:23.198616"
2,1,"Group B",2,"2017-12-28 04:32:23.222016","2017-12-28 04:32:23.222016"
3,1,"Group C",3,"2017-12-28 04:32:23.237552","2017-12-28 04:32:23.237552"
4,1,"Group D",4,"2017-12-28 04:32:23.252419","2017-12-28 04:32:23.252419"
5,1,"Group E",5,"2017-12-28 04:32:23.265749","2017-12-28 04:32:23.265749"
6,1,"Group F",6,"2017-12-28 04:32:23.281324","2017-12-28 04:32:23.281324"
7,1,"Group G",7,"2017-12-28 04:32:23.295218","2017-12-28 04:32:23.295218"
8,1,"Group H",8,"2017-12-28 04:32:23.309458","2017-12-28 04:32:23.309458"
9,1,"Group I",9,"2017-12-28 04:32:23.323185","2017-12-28 04:32:23.323185"
10,1,"Group J",10,"2017-12-28 04:32:23.336932","2017-12-28 04:32:23.336932"
11,2,"Group A",1,"2017-12-28 04:32:24.898467","2017-12-28 04:32:24.898467"
12,2,"Group B",2,"2017-12-28 04:32:24.911748","2017-12-28 04:32:24.911748"
13,2,"Group C",3,"2017-12-28 04:32:24.926207","2017-12-28 04:32:24.926207"
14,2,"Group D",4,"2017-12-28 04:32:24.940567","2017-12-28 04:32:24.940567"
15,2,"Group E",5,"2017-12-28 04:32:24.954688","2017-12-28 04:32:24.954688"
16,2,"Group I",9,"2017-12-28 04:32:25.481599","2017-12-28 04:32:25.481599"
17,2,"Group J",10,"2017-12-28 04:32:25.499748","2017-12-28 04:32:25.499748"
18,3,"Group A",1,"2017-12-28 04:32:25.997539","2017-12-28 04:32:25.997539"
19,3,"Group B",2,"2017-12-28 04:32:26.018491","2017-12-28 04:32:26.018491"
20,3,"Group C",3,"2017-12-28 04:32:26.040766","2017-12-28 04:32:26.040766"
21,3,"Group D",4,"2017-12-28 04:32:26.059689","2017-12-28 04:32:26.059689"
22,3,"Group E",5,"2017-12-28 04:32:26.082474","2017-12-28 04:32:26.082474"
23,3,"Group F",6,"2017-12-28 04:32:26.102670","2017-12-28 04:32:26.102670"
24,3,"Group G",7,"2017-12-28 04:32:26.121425","2017-12-28 04:32:26.121425"
25,3,"Group H",8,"2017-12-28 04:32:26.139286","2017-12-28 04:32:26.139286"
26,3,"Group I",9,"2017-12-28 04:32:26.157053","2017-12-28 04:32:26.157053"
27,4,"Group A",1,"2017-12-28 04:32:28.681524","2017-12-28 04:32:28.681524"
28,4,"Group B",2,"2017-12-28 04:32:28.694748","2017-12-28 04:32:28.694748"
29,4,"Group C",3,"2017-12-28 04:32:28.712404","2017-12-28 04:32:28.712404"
30,4,"Group D",4,"2017-12-28 04:32:28.725930","2017-12-28 04:32:28.725930"
31,4,"Group E",5,"2017-12-28 04:32:28.742053","2017-12-28 04:32:28.742053"
32,4,"Group F",6,"2017-12-28 04:32:28.757007","2017-12-28 04:32:28.757007"
33,4,"Group I",9,"2017-12-28 04:32:29.311234","2017-12-28 04:32:29.311234"
34,4,"Group J",10,"2017-12-28 04:32:29.326289","2017-12-28 04:32:29.326289"
35,4,"Group K",11,"2017-12-28 04:32:29.341619","2017-12-28 04:32:29.341619"
36,4,"Group HEX",666,"2017-12-28 04:32:29.684695","2017-12-28 04:32:29.684695"
37,5,"Group I",9,"2017-12-28 04:32:30.008818","2017-12-28 04:32:30.008818"
38,5,"Group A",1,"2017-12-28 04:32:30.078294","2017-12-28 04:32:30.078294"
39,5,"Group B",2,"2017-12-28 04:32:30.092136","2017-12-28 04:32:30.092136"
40,5,"Group J",10,"2017-12-28 04:32:30.211864","2017-12-28 04:32:30.211864"
41,8,"Group A",1,"2017-12-28 04:32:31.042419","2017-12-28 04:32:31.042419"
42,8,"Group B",2,"2017-12-28 04:32:31.059257","2017-12-28 04:32:31.059257"
43,8,"Group C",3,"2017-12-28 04:32:31.079468","2017-12-28 04:32:31.079468"
44,8,"Group D",4,"2017-12-28 04:32:31.099407","2017-12-28 04:32:31.099407"
45,8,"Group E",5,"2017-12-28 04:32:31.114936","2017-12-28 04:32:31.114936"
46,8,"Group F",6,"2017-12-28 04:32:31.129951","2017-12-28 04:32:31.129951"
47,8,"Group G",7,"2017-12-28 04:32:31.145822","2017-12-28 04:32:31.145822"
48,8,"Group H",8,"2017-12-28 04:32:31.161917","2017-12-28 04:32:31.161917"
49,9,"Group A",1,"2017-12-28 04:32:32.892653","2017-12-28 04:32:32.892653"
50,9,"Group B",2,"2017-12-28 04:32:32.905340","2017-12-28 04:32:32.905340"
51,9,"Group C",3,"2017-12-28 04:32:32.919415","2017-12-28 04:32:32.919415"
52,9,"Group D",4,"2017-12-28 04:32:32.931838","2017-12-28 04:32:32.931838"
53,10,"Group A",1,"2017-12-28 04:32:33.218877","2017-12-28 04:32:33.218877"
54,10,"Group B",2,"2017-12-28 04:32:33.236389","2017-12-28 04:32:33.236389"
55,10,"Group C",3,"2017-12-28 04:32:33.255220","2017-12-28 04:32:33.255220"
56,10,"Group D",4,"2017-12-28 04:32:33.269864","2017-12-28 04:32:33.269864"
57,11,"Group A",1,"2017-12-28 04:32:33.572482","2017-12-28 04:32:33.572482"
58,11,"Group B",2,"2017-12-28 04:32:33.588619","2017-12-28 04:32:33.588619"
59,11,"Group C",3,"2017-12-28 04:32:33.605852","2017-12-28 04:32:33.605852"
60,11,"Group D",4,"2017-12-28 04:32:33.627394","2017-12-28 04:32:33.627394"
61,11,"Group E",5,"2017-12-28 04:32:33.642287","2017-12-28 04:32:33.642287"
62,11,"Group F",6,"2017-12-28 04:32:33.656373","2017-12-28 04:32:33.656373"
63,12,"Group A",1,"2017-12-28 04:32:34.057317","2017-12-28 04:32:34.057317"
