id,group_id,team_id,created_at,updated_at
1,1,33,"2017-12-28 04:32:23.209642","2017-12-28 04:32:23.209642"
2,1,52,"2017-12-28 04:32:23.211886","2017-12-28 04:32:23.211886"
3,1,43,"2017-12-28 04:32:23.214112","2017-12-28 04:32:23.214112"
4,1,23,"2017-12-28 04:32:23.218398","2017-12-28 04:32:23.218398"
5,2,5,"2017-12-28 04:32:23.225764","2017-12-28 04:32:23.225764"
6,2,6,"2017-12-28 04:32:23.228512","2017-12-28 04:32:23.228512"
7,2,14,"2017-12-28 04:32:23.230837","2017-12-28 04:32:23.230837"
8,2,27,"2017-12-28 04:32:23.233869","2017-12-28 04:32:23.233869"
9,3,17,"2017-12-28 04:32:23.241363","2017-12-28 04:32:23.241363"
10,3,3,"2017-12-28 04:32:23.243878","2017-12-28 04:32:23.243878"
11,3,39,"2017-12-28 04:32:23.246039","2017-12-28 04:32:23.246039"
12,3,7,"2017-12-28 04:32:23.248001","2017-12-28 04:32:23.248001"
13,4,18,"2017-12-28 04:32:23.256113","2017-12-28 04:32:23.256113"
14,4,54,"2017-12-28 04:32:23.258068","2017-12-28 04:32:23.258068"
15,4,45,"2017-12-28 04:32:23.260083","2017-12-28 04:32:23.260083"
16,4,38,"2017-12-28 04:32:23.262146","2017-12-28 04:32:23.262146"
17,5,16,"2017-12-28 04:32:23.270380","2017-12-28 04:32:23.270380"
18,5,25,"2017-12-28 04:32:23.272531","2017-12-28 04:32:23.272531"
19,5,28,"2017-12-28 04:32:23.274589","2017-12-28 04:32:23.274589"
20,5,19,"2017-12-28 04:32:23.276931","2017-12-28 04:32:23.276931"
21,6,20,"2017-12-28 04:32:23.285220","2017-12-28 04:32:23.285220"
22,6,48,"2017-12-28 04:32:23.287215","2017-12-28 04:32:23.287215"
23,6,34,"2017-12-28 04:32:23.289230","2017-12-28 04:32:23.289230"
24,6,50,"2017-12-28 04:32:23.291220","2017-12-28 04:32:23.291220"
25,7,2,"2017-12-28 04:32:23.299110","2017-12-28 04:32:23.299110"
26,7,8,"2017-12-28 04:32:23.301145","2017-12-28 04:32:23.301145"
27,7,49,"2017-12-28 04:32:23.303147","2017-12-28 04:32:23.303147"
28,7,55,"2017-12-28 04:32:23.305101","2017-12-28 04:32:23.305101"
29,8,1,"2017-12-28 04:32:23.313192","2017-12-28 04:32:23.313192"
30,8,11,"2017-12-28 04:32:23.315274","2017-12-28 04:32:23.315274"
31,8,15,"2017-12-28 04:32:23.317173","2017-12-28 04:32:23.317173"
32,8,35,"2017-12-28 04:32:23.319311","2017-12-28 04:32:23.319311"
33,9,22,"2017-12-28 04:32:23.326943","2017-12-28 04:32:23.326943"
34,9,4,"2017-12-28 04:32:23.329042","2017-12-28 04:32:23.329042"
35,9,26,"2017-12-28 04:32:23.330948","2017-12-28 04:32:23.330948"
36,9,21,"2017-12-28 04:32:23.332861","2017-12-28 04:32:23.332861"
37,10,13,"2017-12-28 04:32:23.340927","2017-12-28 04:32:23.340927"
38,10,40,"2017-12-28 04:32:23.342944","2017-12-28 04:32:23.342944"
39,10,42,"2017-12-28 04:32:23.345099","2017-12-28 04:32:23.345099"
40,10,10,"2017-12-28 04:32:23.347079","2017-12-28 04:32:23.347079"
41,11,179,"2017-12-28 04:32:24.902370","2017-12-28 04:32:24.902370"
42,11,180,"2017-12-28 04:32:24.904480","2017-12-28 04:32:24.904480"
43,11,70,"2017-12-28 04:32:24.906657","2017-12-28 04:32:24.906657"
44,11,85,"2017-12-28 04:32:24.908611","2017-12-28 04:32:24.908611"
45,12,74,"2017-12-28 04:32:24.915657","2017-12-28 04:32:24.915657"
46,12,182,"2017-12-28 04:32:24.918167","2017-12-28 04:32:24.918167"
47,12,181,"2017-12-28 04:32:24.921165","2017-12-28 04:32:24.921165"
48,12,188,"2017-12-28 04:32:24.923218","2017-12-28 04:32:24.923218"
49,13,69,"2017-12-28 04:32:24.930162","2017-12-28 04:32:24.930162"
50,13,72,"2017-12-28 04:32:24.933429","2017-12-28 04:32:24.933429"
51,13,73,"2017-12-28 04:32:24.935526","2017-12-28 04:32:24.935526"
52,13,67,"2017-12-28 04:32:24.937483","2017-12-28 04:32:24.937483"
53,14,193,"2017-12-28 04:32:24.945098","2017-12-28 04:32:24.945098"
54,14,183,"2017-12-28 04:32:24.947326","2017-12-28 04:32:24.947326"
55,14,186,"2017-12-28 04:32:24.949275","2017-12-28 04:32:24.949275"
56,14,86,"2017-12-28 04:32:24.951305","2017-12-28 04:32:24.951305"
57,15,178,"2017-12-28 04:32:24.958560","2017-12-28 04:32:24.958560"
58,15,185,"2017-12-28 04:32:24.960878","2017-12-28 04:32:24.960878"
59,15,177,"2017-12-28 04:32:24.963052","2017-12-28 04:32:24.963052"
60,15,80,"2017-12-28 04:32:24.965115","2017-12-28 04:32:24.965115"
61,16,178,"2017-12-28 04:32:25.485674","2017-12-28 04:32:25.485674"
62,16,74,"2017-12-28 04:32:25.487667","2017-12-28 04:32:25.487667"
63,16,69,"2017-12-28 04:32:25.489762","2017-12-28 04:32:25.489762"
64,16,185,"2017-12-28 04:32:25.491993","2017-12-28 04:32:25.491993"
65,16,182,"2017-12-28 04:32:25.495017","2017-12-28 04:32:25.495017"
66,17,72,"2017-12-28 04:32:25.503750","2017-12-28 04:32:25.503750"
67,17,193,"2017-12-28 04:32:25.505782","2017-12-28 04:32:25.505782"
68,17,180,"2017-12-28 04:32:25.507682","2017-12-28 04:32:25.507682"
69,17,183,"2017-12-28 04:32:25.510313","2017-12-28 04:32:25.510313"
70,17,179,"2017-12-28 04:32:25.512576","2017-12-28 04:32:25.512576"
71,18,125,"2017-12-28 04:32:26.001448","2017-12-28 04:32:26.001448"
72,18,154,"2017-12-28 04:32:26.003761","2017-12-28 04:32:26.003761"
73,18,155,"2017-12-28 04:32:26.006121","2017-12-28 04:32:26.006121"
74,18,171,"2017-12-28 04:32:26.008152","2017-12-28 04:32:26.008152"
75,18,172,"2017-12-28 04:32:26.010117","2017-12-28 04:32:26.010117"
76,18,159,"2017-12-28 04:32:26.012334","2017-12-28 04:32:26.012334"
77,19,134,"2017-12-28 04:32:26.024641","2017-12-28 04:32:26.024641"
78,19,142,"2017-12-28 04:32:26.027282","2017-12-28 04:32:26.027282"
79,19,148,"2017-12-28 04:32:26.029452","2017-12-28 04:32:26.029452"
80,19,141,"2017-12-28 04:32:26.032958","2017-12-28 04:32:26.032958"
81,19,168,"2017-12-28 04:32:26.035166","2017-12-28 04:32:26.035166"
82,19,136,"2017-12-28 04:32:26.037132","2017-12-28 04:32:26.037132"
83,20,127,"2017-12-28 04:32:26.045381","2017-12-28 04:32:26.045381"
84,20,174,"2017-12-28 04:32:26.047371","2017-12-28 04:32:26.047371"
85,20,133,"2017-12-28 04:32:26.049297","2017-12-28 04:32:26.049297"
86,20,57,"2017-12-28 04:32:26.051519","2017-12-28 04:32:26.051519"
87,20,124,"2017-12-28 04:32:26.053652","2017-12-28 04:32:26.053652"
88,20,147,"2017-12-28 04:32:26.055589","2017-12-28 04:32:26.055589"
89,21,137,"2017-12-28 04:32:26.063774","2017-12-28 04:32:26.063774"
90,21,146,"2017-12-28 04:32:26.070000","2017-12-28 04:32:26.070000"
91,21,149,"2017-12-28 04:32:26.072303","2017-12-28 04:32:26.072303"
92,21,157,"2017-12-28 04:32:26.074285","2017-12-28 04:32:26.074285"
93,21,128,"2017-12-28 04:32:26.076260","2017-12-28 04:32:26.076260"
94,21,150,"2017-12-28 04:32:26.078119","2017-12-28 04:32:26.078119"
95,22,153,"2017-12-28 04:32:26.086216","2017-12-28 04:32:26.086216"
96,22,161,"2017-12-28 04:32:26.088192","2017-12-28 04:32:26.088192"
97,22,140,"2017-12-28 04:32:26.090164","2017-12-28 04:32:26.090164"
98,22,160,"2017-12-28 04:32:26.092712","2017-12-28 04:32:26.092712"
99,22,151,"2017-12-28 04:32:26.094896","2017-12-28 04:32:26.094896"
100,22,126,"2017-12-28 04:32:26.097727","2017-12-28 04:32:26.097727"
101,23,156,"2017-12-28 04:32:26.106647","2017-12-28 04:32:26.106647"
102,23,138,"2017-12-28 04:32:26.108733","2017-12-28 04:32:26.108733"
103,23,176,"2017-12-28 04:32:26.111500","2017-12-28 04:32:26.111500"
104,23,169,"2017-12-28 04:32:26.113791","2017-12-28 04:32:26.113791"
105,23,173,"2017-12-28 04:32:26.115724","2017-12-28 04:32:26.115724"
106,23,135,"2017-12-28 04:32:26.117618","2017-12-28 04:32:26.117618"
107,24,162,"2017-12-28 04:32:26.125365","2017-12-28 04:32:26.125365"
108,24,132,"2017-12-28 04:32:26.127348","2017-12-28 04:32:26.127348"
109,24,139,"2017-12-28 04:32:26.129261","2017-12-28 04:32:26.129261"
110,24,144,"2017-12-28 04:32:26.131333","2017-12-28 04:32:26.131333"
111,24,143,"2017-12-28 04:32:26.133372","2017-12-28 04:32:26.133372"
112,24,163,"2017-12-28 04:32:26.135287","2017-12-28 04:32:26.135287"
113,25,170,"2017-12-28 04:32:26.143144","2017-12-28 04:32:26.143144"
114,25,158,"2017-12-28 04:32:26.145112","2017-12-28 04:32:26.145112"
115,25,164,"2017-12-28 04:32:26.146963","2017-12-28 04:32:26.146963"
116,25,145,"2017-12-28 04:32:26.148875","2017-12-28 04:32:26.148875"
117,25,165,"2017-12-28 04:32:26.150940","2017-12-28 04:32:26.150940"
118,25,166,"2017-12-28 04:32:26.152977","2017-12-28 04:32:26.152977"
119,26,131,"2017-12-28 04:32:26.160854","2017-12-28 04:32:26.160854"
120,26,129,"2017-12-28 04:32:26.162875","2017-12-28 04:32:26.162875"
121,26,152,"2017-12-28 04:32:26.164911","2017-12-28 04:32:26.164911"
122,26,130,"2017-12-28 04:32:26.166766","2017-12-28 04:32:26.166766"
123,26,167,"2017-12-28 04:32:26.168855","2017-12-28 04:32:26.168855"
124,27,119,"2017-12-28 04:32:28.686086","2017-12-28 04:32:28.686086"
125,27,100,"2017-12-28 04:32:28.688560","2017-12-28 04:32:28.688560"
126,27,96,"2017-12-28 04:32:28.690885","2017-12-28 04:32:28.690885"
127,28,220,"2017-12-28 04:32:28.701308","2017-12-28 04:32:28.701308"
128,28,109,"2017-12-28 04:32:28.704133","2017-12-28 04:32:28.704133"
129,28,94,"2017-12-28 04:32:28.706258","2017-12-28 04:32:28.706258"
130,28,93,"2017-12-28 04:32:28.708426","2017-12-28 04:32:28.708426"
131,29,120,"2017-12-28 04:32:28.717729","2017-12-28 04:32:28.717729"
132,29,123,"2017-12-28 04:32:28.719945","2017-12-28 04:32:28.719945"
133,29,99,"2017-12-28 04:32:28.722232","2017-12-28 04:32:28.722232"
134,30,192,"2017-12-28 04:32:28.730826","2017-12-28 04:32:28.730826"
