id,key,title,country_id,club,created_at,updated_at
1,world,"World Cup",,f,"2017-12-28 04:32:22.386525","2017-12-28 04:32:22.386525"
2,world.quali.europe,"World Cup Quali Europe",,f,"2017-12-28 04:32:22.388023","2017-12-28 04:32:22.388023"
3,world.quali.northamerica,"World Cup Quali North/Central America and Caribbean",,f,"2017-12-28 04:32:22.389276","2017-12-28 04:32:22.389276"
4,world.quali.southamerica,"World Cup Quali South America",,f,"2017-12-28 04:32:22.391340","2017-12-28 04:32:22.391340"
5,world.quali.africa,"World Cup Quali Africa",,f,"2017-12-28 04:32:22.392846","2017-12-28 04:32:22.392846"
6,world.quali.asia,"World Cup Quali Asia (w/ Australia)",,f,"2017-12-28 04:32:22.393905","2017-12-28 04:32:22.393905"
7,world.quali.pacific,"World Cup Quali South Pacific",,f,"2017-12-28 04:32:22.394896","2017-12-28 04:32:22.394896"
8,world.quali.playoffs,"World Cup Quali Intercontinental Playoffs",,f,"2017-12-28 04:32:22.395984","2017-12-28 04:32:22.395984"
9,world.confed,"Confederations Cup",,f,"2017-12-28 04:32:22.397321","2017-12-28 04:32:22.397321"
10,euro,"Euro / European Championship",,f,"2017-12-28 04:32:22.399550","2017-12-28 04:32:22.399550"
11,euro.quali,"Euro Quali",,f,"2017-12-28 04:32:22.400898","2017-12-28 04:32:22.400898"
12,southamerica,"Copa América",,f,"2017-12-28 04:32:22.402060","2017-12-28 04:32:22.402060"
13,northamerica,"Gold Cup / Copa de Oro",,f,"2017-12-28 04:32:22.403097","2017-12-28 04:32:22.403097"
14,asia,"Asian Cup",,f,"2017-12-28 04:32:22.404198","2017-12-28 04:32:22.404198"
15,africa,"Africa Cup of Nations / Coupe d'Afrique des Nations",,f,"2017-12-28 04:32:22.405242","2017-12-28 04:32:22.405242"
16,paficic,"South Pacific Nations Cup",,f,"2017-12-28 04:32:22.406215","2017-12-28 04:32:22.406215"
17,en,"English Premier League",225,t,"2017-12-28 04:32:37.410428","2017-12-28 04:32:37.410428"
18,en.2,"English Championship",225,t,"2017-12-28 04:32:37.411959","2017-12-28 04:32:37.411959"
19,en.3,"English League One",225,t,"2017-12-28 04:32:37.413352","2017-12-28 04:32:37.413352"
20,en.4,"English League Two",225,t,"2017-12-28 04:32:37.417238","2017-12-28 04:32:37.417238"
21,at,"Österr. Bundesliga",107,t,"2017-12-28 04:33:18.013389","2017-12-28 04:33:18.013389"
22,at.2,"Österr. Erste Liga",107,t,"2017-12-28 04:33:18.014837","2017-12-28 04:33:18.014837"
23,at.cup,"ÖFB Cup",107,t,"2017-12-28 04:33:18.016946","2017-12-28 04:33:18.016946"
24,at.3.ost,"Österr. Regionalliga Ost",107,t,"2017-12-28 04:33:18.018696","2017-12-28 04:33:18.018696"
25,at.3.mitte,"Österr. Regionalliga Mitte",107,t,"2017-12-28 04:33:18.020088","2017-12-28 04:33:18.020088"
26,at.3.west,"Österr. Regionalliga West",107,t,"2017-12-28 04:33:18.021333","2017-12-28 04:33:18.021333"
27,at.4.ost.w,"Wiener Stadtliga",107,t,"2017-12-28 04:33:18.022809","2017-12-28 04:33:18.022809"
28,at.5.n.ost,"2. Landesliga Ost (NÖ)",107,t,"2017-12-28 04:33:18.025306","2017-12-28 04:33:18.025306"
29,at.5.n.west,"2. Landesliga West (NÖ)",107,t,"2017-12-28 04:33:18.026819","2017-12-28 04:33:18.026819"
30,at.6.n.ost.sso,"Gebietsliga Süd/Südost (NÖ)",107,t,"2017-12-28 04:33:18.028483","2017-12-28 04:33:18.028483"
31,at.6.n.ost.nnw,"Gebietsliga Nord/Nordwest (NÖ)",107,t,"2017-12-28 04:33:18.031443","2017-12-28 04:33:18.031443"
32,at.6.n.west.w,"Gebietsliga West (NÖ)",107,t,"2017-12-28 04:33:18.034158","2017-12-28 04:33:18.034158"
33,at.6.n.west.nww,"Gebietsliga Nordwest/Waldviertel (NÖ)",107,t,"2017-12-28 04:33:18.036022","2017-12-28 04:33:18.036022"
34,at.7.n.ost.sso.s,"1. Klasse Süd (NÖ)",107,t,"2017-12-28 04:33:18.037635","2017-12-28 04:33:18.037635"
35,at.7.n.ost.sso.o,"1. Klasse Ost (NÖ)",107,t,"2017-12-28 04:33:18.039083","2017-12-28 04:33:18.039083"
36,at.7.n.ost.nnw.n,"1. Klasse Nord (NÖ)",107,t,"2017-12-28 04:33:18.040595","2017-12-28 04:33:18.040595"
37,at.7.n.ost.nnw.nw,"1. Klasse Nordwest (NÖ)",107,t,"2017-12-28 04:33:18.042807","2017-12-28 04:33:18.042807"
38,at.7.n.west.w.w,"1. Klasse West (NÖ)",107,t,"2017-12-28 04:33:18.044500","2017-12-28 04:33:18.044500"
39,at.7.n.west.w.wm,"1. Klasse West-Mitte (NÖ)",107,t,"2017-12-28 04:33:18.046315","2017-12-28 04:33:18.046315"
40,at.7.n.west.nww.nwm,"1. Klasse Nordwest-Mitte (NÖ)",107,t,"2017-12-28 04:33:18.049318","2017-12-28 04:33:18.049318"
