id,msg,level,app,tag,pid,tid,ts,created_at,updated_at
1,"hash reader - found implicit bool (no) for key; adding quotes to turn into string; see yaml.org/refcard.html (path=)",warn,,,14013,10252500,"2017-12-28 04:32:15 +0000","2017-12-28 04:32:15.535967","2017-12-28 04:32:15.535967"
2,"no country match found for >Bonaire<; skipping line; in [1-codes/fifa]",warn,,,14013,10252500,"2017-12-28 04:32:16 +0000","2017-12-28 04:32:16.417517","2017-12-28 04:32:16.417517"
3,"no country match found for >Kosovo<; skipping line; in [1-codes/fifa]",warn,,,14013,10252500,"2017-12-28 04:32:16 +0000","2017-12-28 04:32:16.435252","2017-12-28 04:32:16.435252"
4,"no country match found for >Zanzibar<; skipping line; in [1-codes/fifa]",warn,,,14013,10252500,"2017-12-28 04:32:16 +0000","2017-12-28 04:32:16.440475","2017-12-28 04:32:16.440475"
5,"no country match found for >Saint-Martin<; skipping line; in [1-codes/fifa]",warn,,,14013,10252500,"2017-12-28 04:32:16 +0000","2017-12-28 04:32:16.450479","2017-12-28 04:32:16.450479"
6,"no country match found for >Ashmore and Cartier Islands (AU)<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:16 +0000","2017-12-28 04:32:16.501040","2017-12-28 04:32:16.501040"
7,"no country match found for >Akrotiri (UK)<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:16 +0000","2017-12-28 04:32:16.509247","2017-12-28 04:32:16.509247"
8,"no country match found for >Burma<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:16 +0000","2017-12-28 04:32:16.548267","2017-12-28 04:32:16.548267"
9,"no country match found for >Navassa Island (US)<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:16 +0000","2017-12-28 04:32:16.558310","2017-12-28 04:32:16.558310"
10,"no country match found for >Bassas da India (FR)<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:16 +0000","2017-12-28 04:32:16.564756","2017-12-28 04:32:16.564756"
11,"no country match found for >Cocos (Keeling) Islands (AU)<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:16 +0000","2017-12-28 04:32:16.607855","2017-12-28 04:32:16.607855"
12,"no country match found for >Coral Sea Islands (AU)<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:16 +0000","2017-12-28 04:32:16.620922","2017-12-28 04:32:16.620922"
13,"no country match found for >Jarvis Island (US)<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:16 +0000","2017-12-28 04:32:16.651051","2017-12-28 04:32:16.651051"
14,"no country match found for >Dhekelia (UK)<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:16 +0000","2017-12-28 04:32:16.656327","2017-12-28 04:32:16.656327"
15,"no country match found for >Europa Island (FR)<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:16 +0000","2017-12-28 04:32:16.681168","2017-12-28 04:32:16.681168"
