id,name,place_id,place_kind,lang,created_at,updated_at
1,Bujumbura,12,CITY,en,"2017-12-28 04:32:12.806555","2017-12-28 04:32:12.806555"
2,Moroni,14,CITY,en,"2017-12-28 04:32:12.847262","2017-12-28 04:32:12.847262"
3,Djibouti,16,CITY,en,"2017-12-28 04:32:12.857361","2017-12-28 04:32:12.857361"
4,Asmara,18,CITY,en,"2017-12-28 04:32:12.869254","2017-12-28 04:32:12.869254"
5,"Addis Ababa",20,CITY,en,"2017-12-28 04:32:12.878035","2017-12-28 04:32:12.878035"
6,Nairobi,22,CITY,en,"2017-12-28 04:32:12.888427","2017-12-28 04:32:12.888427"
7,Antananarivo,24,CITY,en,"2017-12-28 04:32:12.900398","2017-12-28 04:32:12.900398"
8,Lilongwe,26,CITY,en,"2017-12-28 04:32:12.908857","2017-12-28 04:32:12.908857"
9,"Port Louis",28,CITY,en,"2017-12-28 04:32:12.919854","2017-12-28 04:32:12.919854"
10,Maputo,30,CITY,en,"2017-12-28 04:32:12.929479","2017-12-28 04:32:12.929479"
11,Kigali,32,CITY,en,"2017-12-28 04:32:12.939827","2017-12-28 04:32:12.939827"
12,Victoria,34,CITY,en,"2017-12-28 04:32:12.950616","2017-12-28 04:32:12.950616"
13,Mogadishu,36,CITY,en,"2017-12-28 04:32:12.959770","2017-12-28 04:32:12.959770"
14,Dodoma,38,CITY,en,"2017-12-28 04:32:12.972249","2017-12-28 04:32:12.972249"
15,Kampala,40,CITY,en,"2017-12-28 04:32:12.983672","2017-12-28 04:32:12.983672"
16,Lusaka,42,CITY,en,"2017-12-28 04:32:12.991999","2017-12-28 04:32:12.991999"
17,Harare,44,CITY,en,"2017-12-28 04:32:13.004430","2017-12-28 04:32:13.004430"
18,Luanda,46,CITY,en,"2017-12-28 04:32:13.016431","2017-12-28 04:32:13.016431"
19,"Yaoundé",48,CITY,en,"2017-12-28 04:32:13.024919","2017-12-28 04:32:13.024919"
20,Bangui,50,CITY,en,"2017-12-28 04:32:13.038426","2017-12-28 04:32:13.038426"
21,"N'Djamena",52,CITY,en,"2017-12-28 04:32:13.050106","2017-12-28 04:32:13.050106"
22,Brazzaville,54,CITY,en,"2017-12-28 04:32:13.060655","2017-12-28 04:32:13.060655"
23,Kinshasa,56,CITY,en,"2017-12-28 04:32:13.071400","2017-12-28 04:32:13.071400"
24,Malabo,58,CITY,en,"2017-12-28 04:32:13.081638","2017-12-28 04:32:13.081638"
25,Libreville,60,CITY,en,"2017-12-28 04:32:13.092798","2017-12-28 04:32:13.092798"
26,"São Tomé",62,CITY,en,"2017-12-28 04:32:13.104228","2017-12-28 04:32:13.104228"
27,Juba,69,CITY,en,"2017-12-28 04:32:13.147562","2017-12-28 04:32:13.147562"
28,Khartoum,71,CITY,en,"2017-12-28 04:32:13.158743","2017-12-28 04:32:13.158743"
29,Gaborone,74,CITY,en,"2017-12-28 04:32:13.174541","2017-12-28 04:32:13.174541"
30,Maseru,76,CITY,en,"2017-12-28 04:32:13.185671","2017-12-28 04:32:13.185671"
31,Windhoek,78,CITY,en,"2017-12-28 04:32:13.201667","2017-12-28 04:32:13.201667"
32,Lobamba,80,CITY,en,"2017-12-28 04:32:13.211548","2017-12-28 04:32:13.211548"
33,Porto-Novo,82,CITY,en,"2017-12-28 04:32:13.223173","2017-12-28 04:32:13.223173"
34,Ouagadougou,84,CITY,en,"2017-12-28 04:32:13.234312","2017-12-28 04:32:13.234312"
35,Praia,86,CITY,en,"2017-12-28 04:32:13.244601","2017-12-28 04:32:13.244601"
36,Conakry,91,CITY,en,"2017-12-28 04:32:13.276402","2017-12-28 04:32:13.276402"
37,Bissau,93,CITY,en,"2017-12-28 04:32:13.290916","2017-12-28 04:32:13.290916"
38,Monrovia,95,CITY,en,"2017-12-28 04:32:13.306960","2017-12-28 04:32:13.306960"
39,Bamako,97,CITY,en,"2017-12-28 04:32:13.323308","2017-12-28 04:32:13.323308"
40,Niamey,100,CITY,en,"2017-12-28 04:32:13.349786","2017-12-28 04:32:13.349786"
41,Dakar,103,CITY,en,"2017-12-28 04:32:13.372555","2017-12-28 04:32:13.372555"
42,Freetown,105,CITY,en,"2017-12-28 04:32:13.385011","2017-12-28 04:32:13.385011"
43,"Lomé",107,CITY,en,"2017-12-28 04:32:13.395279","2017-12-28 04:32:13.395279"
44,Astana,110,CITY,en,"2017-12-28 04:32:13.414396","2017-12-28 04:32:13.414396"
45,Bishkek,112,CITY,en,"2017-12-28 04:32:13.426247","2017-12-28 04:32:13.426247"
46,Dushanbe,114,CITY,en,"2017-12-28 04:32:13.437357","2017-12-28 04:32:13.437357"
47,Ashgabat,116,CITY,en,"2017-12-28 04:32:13.446563","2017-12-28 04:32:13.446563"
48,Tashkent,118,CITY,en,"2017-12-28 04:32:13.457581","2017-12-28 04:32:13.457581"
49,Tokyo,120,CITY,en,"2017-12-28 04:32:13.468177","2017-12-28 04:32:13.468177"
50,Pyongyang,122,CITY,en,"2017-12-28 04:32:13.476435","2017-12-28 04:32:13.476435"
51,Seoul,124,CITY,en,"2017-12-28 04:32:13.486800","2017-12-28 04:32:13.486800"
52,Beijing,126,CITY,en,"2017-12-28 04:32:13.495004","2017-12-28 04:32:13.495004"
53,Taipei,128,CITY,en,"2017-12-28 04:32:13.504764","2017-12-28 04:32:13.504764"
54,"Ulan Bator",130,CITY,en,"2017-12-28 04:32:13.514557","2017-12-28 04:32:13.514557"
55,Islamabad,132,CITY,en,"2017-12-28 04:32:13.524024","2017-12-28 04:32:13.524024"
56,"New Delhi",134,CITY,en,"2017-12-28 04:32:13.533600","2017-12-28 04:32:13.533600"
57,Dhaka,136,CITY,en,"2017-12-28 04:32:13.541788","2017-12-28 04:32:13.541788"
58,Kathmandu,138,CITY,en,"2017-12-28 04:32:13.552076","2017-12-28 04:32:13.552076"
59,Colombo,140,CITY,en,"2017-12-28 04:32:13.560644","2017-12-28 04:32:13.560644"
60,Thimphu,142,CITY,en,"2017-12-28 04:32:13.570173","2017-12-28 04:32:13.570173"
61,"Malé",144,CITY,en,"2017-12-28 04:32:13.578545","2017-12-28 04:32:13.578545"
62,Kabul,146,CITY,en,"2017-12-28 04:32:13.587718","2017-12-28 04:32:13.587718"
63,Jakarta,148,CITY,en,"2017-12-28 04:32:13.595364","2017-12-28 04:32:13.595364"
64,"Kuala Lumpur",150,CITY,en,"2017-12-28 04:32:13.608264","2017-12-28 04:32:13.608264"
65,Singapore,152,CITY,en,"2017-12-28 04:32:13.619142","2017-12-28 04:32:13.619142"
66,Bangkok,154,CITY,en,"2017-12-28 04:32:13.627599","2017-12-28 04:32:13.627599"
67,Manila,156,CITY,en,"2017-12-28 04:32:13.636806","2017-12-28 04:32:13.636806"
68,Hanoi,158,CITY,en,"2017-12-28 04:32:13.645794","2017-12-28 04:32:13.645794"
69,"Bandar Seri Begawan",160,CITY,en,"2017-12-28 04:32:13.655319","2017-12-28 04:32:13.655319"
70,Naypyidaw,162,CITY,en,"2017-12-28 04:32:13.663770","2017-12-28 04:32:13.663770"
71,"Phnom Penh",164,CITY,en,"2017-12-28 04:32:13.672865","2017-12-28 04:32:13.672865"
72,Dili,166,CITY,en,"2017-12-28 04:32:13.684206","2017-12-28 04:32:13.684206"
