id,key,name,synonyms,code,born_at,city_id,state_id,country_id,nationality_id,created_at,updated_at
1,marcelo,Marcelo,,,,,,,,"2017-12-28 04:32:31.244825","2017-12-28 04:32:31.244825"
2,neymar,Neymar,,,,,,,,"2017-12-28 04:32:31.270864","2017-12-28 04:32:31.270864"
3,oscar,Oscar,,,,,,,,"2017-12-28 04:32:31.278393","2017-12-28 04:32:31.278393"
4,oribeperalta,"Oribe Peralta",,,,,,,,"2017-12-28 04:32:31.301135","2017-12-28 04:32:31.301135"
5,ivicaolic,"Ivica Olić",,,,,,,,"2017-12-28 04:32:31.331256","2017-12-28 04:32:31.331256"
6,ivanperisic,"Ivan Perišić",,,,,,,,"2017-12-28 04:32:31.336021","2017-12-28 04:32:31.336021"
7,mariomandzukic,"Mario Mandžukić",,,,,,,,"2017-12-28 04:32:31.339589","2017-12-28 04:32:31.339589"
8,joelmatip,"Joel Matip",,,,,,,,"2017-12-28 04:32:31.367385","2017-12-28 04:32:31.367385"
9,fred,Fred,,,,,,,,"2017-12-28 04:32:31.372881","2017-12-28 04:32:31.372881"
10,fernandinho,Fernandinho,,,,,,,,"2017-12-28 04:32:31.377299","2017-12-28 04:32:31.377299"
11,rafaelmarquez,"Rafael Márquez",,,,,,,,"2017-12-28 04:32:31.398507","2017-12-28 04:32:31.398507"
12,andresguardado,"Andres Guardado",,,,,,,,"2017-12-28 04:32:31.403030","2017-12-28 04:32:31.403030"
13,javierhernandez,"Javier Hernández",,,,,,,,"2017-12-28 04:32:31.406708","2017-12-28 04:32:31.406708"
14,xabialonso,"Xabi Alonso",,,,,,,,"2017-12-28 04:32:31.431057","2017-12-28 04:32:31.431057"
15,robinvanpersie,"Robin Van Persie",,,,,,,,"2017-12-28 04:32:31.435743","2017-12-28 04:32:31.435743"
16,arjenrobben,"Arjen Robben",,,,,,,,"2017-12-28 04:32:31.439441","2017-12-28 04:32:31.439441"
17,stefandevrij,"Stefan De Vrij",,,,,,,,"2017-12-28 04:32:31.444782","2017-12-28 04:32:31.444782"
18,alexissanchez,"Alexis Sánchez",,,,,,,,"2017-12-28 04:32:31.469391","2017-12-28 04:32:31.469391"
19,jorgevaldivia,"Jorge Valdívia",,,,,,,,"2017-12-28 04:32:31.473119","2017-12-28 04:32:31.473119"
20,cahill,Cahill,,,,,,,,"2017-12-28 04:32:31.478163","2017-12-28 04:32:31.478163"
21,jeanbeausejour,"Jean Beausejour",,,,,,,,"2017-12-28 04:32:31.485314","2017-12-28 04:32:31.485314"
22,eduardovargas,"Eduardo Vargas",,,,,,,,"2017-12-28 04:32:31.508274","2017-12-28 04:32:31.508274"
23,charlesaranguiz,"Charles Aránguiz",,,,,,,,"2017-12-28 04:32:31.512891","2017-12-28 04:32:31.512891"
24,timcahill,"Tim Cahill",,,,,,,,"2017-12-28 04:32:31.541181","2017-12-28 04:32:31.541181"
25,milejedinak,"Mile Jedinak",,,,,,,,"2017-12-28 04:32:31.548024","2017-12-28 04:32:31.548024"
