id,name,kind,lat,lng,created_at,updated_at
1,Europe,CONT,,,"2017-12-28 04:32:12.737708","2017-12-28 04:32:12.737708"
2,"South America",CONT,,,"2017-12-28 04:32:12.740088","2017-12-28 04:32:12.740088"
3,"North America",CONT,,,"2017-12-28 04:32:12.742134","2017-12-28 04:32:12.742134"
4,"Central America",CONT,,,"2017-12-28 04:32:12.744804","2017-12-28 04:32:12.744804"
5,Caribbean,CONT,,,"2017-12-28 04:32:12.748378","2017-12-28 04:32:12.748378"
6,Africa,CONT,,,"2017-12-28 04:32:12.750547","2017-12-28 04:32:12.750547"
7,"Middle East",CONT,,,"2017-12-28 04:32:12.752543","2017-12-28 04:32:12.752543"
8,Asia,CONT,,,"2017-12-28 04:32:12.754319","2017-12-28 04:32:12.754319"
9,Pacific,CONT,,,"2017-12-28 04:32:12.756104","2017-12-28 04:32:12.756104"
10,Antarctica,CONT,,,"2017-12-28 04:32:12.757855","2017-12-28 04:32:12.757855"
11,Burundi,CNTY,,,"2017-12-28 04:32:12.785018","2017-12-28 04:32:12.785018"
12,Bujumbura,CITY,,,"2017-12-28 04:32:12.800627","2017-12-28 04:32:12.800627"
13,Comoros,CNTY,,,"2017-12-28 04:32:12.843166","2017-12-28 04:32:12.843166"
14,Moroni,CITY,,,"2017-12-28 04:32:12.846217","2017-12-28 04:32:12.846217"
15,Djibouti,CNTY,,,"2017-12-28 04:32:12.854232","2017-12-28 04:32:12.854232"
16,Djibouti,CITY,,,"2017-12-28 04:32:12.856515","2017-12-28 04:32:12.856515"
17,Eritrea,CNTY,,,"2017-12-28 04:32:12.864350","2017-12-28 04:32:12.864350"
18,Asmara,CITY,,,"2017-12-28 04:32:12.868333","2017-12-28 04:32:12.868333"
19,Ethiopia,CNTY,,,"2017-12-28 04:32:12.874133","2017-12-28 04:32:12.874133"
20,"Addis Ababa",CITY,,,"2017-12-28 04:32:12.876455","2017-12-28 04:32:12.876455"
21,Kenya,CNTY,,,"2017-12-28 04:32:12.885209","2017-12-28 04:32:12.885209"
22,Nairobi,CITY,,,"2017-12-28 04:32:12.887519","2017-12-28 04:32:12.887519"
23,Madagascar,CNTY,,,"2017-12-28 04:32:12.893648","2017-12-28 04:32:12.893648"
24,Antananarivo,CITY,,,"2017-12-28 04:32:12.899359","2017-12-28 04:32:12.899359"
25,Malawi,CNTY,,,"2017-12-28 04:32:12.905685","2017-12-28 04:32:12.905685"
26,Lilongwe,CITY,,,"2017-12-28 04:32:12.907993","2017-12-28 04:32:12.907993"
27,Mauritius,CNTY,,,"2017-12-28 04:32:12.916193","2017-12-28 04:32:12.916193"
28,"Port Louis",CITY,,,"2017-12-28 04:32:12.918934","2017-12-28 04:32:12.918934"
29,Mozambique,CNTY,,,"2017-12-28 04:32:12.924775","2017-12-28 04:32:12.924775"
30,Maputo,CITY,,,"2017-12-28 04:32:12.927867","2017-12-28 04:32:12.927867"
31,Rwanda,CNTY,,,"2017-12-28 04:32:12.936540","2017-12-28 04:32:12.936540"
32,Kigali,CITY,,,"2017-12-28 04:32:12.938963","2017-12-28 04:32:12.938963"
33,Seychelles,CNTY,,,"2017-12-28 04:32:12.945454","2017-12-28 04:32:12.945454"
34,Victoria,CITY,,,"2017-12-28 04:32:12.949705","2017-12-28 04:32:12.949705"
35,Somalia,CNTY,,,"2017-12-28 04:32:12.955772","2017-12-28 04:32:12.955772"
36,Mogadishu,CITY,,,"2017-12-28 04:32:12.958484","2017-12-28 04:32:12.958484"
37,Tanzania,CNTY,,,"2017-12-28 04:32:12.969061","2017-12-28 04:32:12.969061"
38,Dodoma,CITY,,,"2017-12-28 04:32:12.971359","2017-12-28 04:32:12.971359"
39,Uganda,CNTY,,,"2017-12-28 04:32:12.977938","2017-12-28 04:32:12.977938"
40,Kampala,CITY,,,"2017-12-28 04:32:12.980865","2017-12-28 04:32:12.980865"
41,Zambia,CNTY,,,"2017-12-28 04:32:12.988806","2017-12-28 04:32:12.988806"
42,Lusaka,CITY,,,"2017-12-28 04:32:12.991078","2017-12-28 04:32:12.991078"
43,Zimbabwe,CNTY,,,"2017-12-28 04:32:13.001191","2017-12-28 04:32:13.001191"
44,Harare,CITY,,,"2017-12-28 04:32:13.003582","2017-12-28 04:32:13.003582"
45,Angola,CNTY,,,"2017-12-28 04:32:13.009295","2017-12-28 04:32:13.009295"
46,Luanda,CITY,,,"2017-12-28 04:32:13.013876","2017-12-28 04:32:13.013876"
47,Cameroon,CNTY,,,"2017-12-28 04:32:13.021481","2017-12-28 04:32:13.021481"
48,"Yaoundé",CITY,,,"2017-12-28 04:32:13.023838","2017-12-28 04:32:13.023838"
49,"Central African Republic",CNTY,,,"2017-12-28 04:32:13.033915","2017-12-28 04:32:13.033915"
50,Bangui,CITY,,,"2017-12-28 04:32:13.037022","2017-12-28 04:32:13.037022"
51,Chad,CNTY,,,"2017-12-28 04:32:13.044346","2017-12-28 04:32:13.044346"
52,"N'Djamena",CITY,,,"2017-12-28 04:32:13.047252","2017-12-28 04:32:13.047252"
53,Congo,CNTY,,,"2017-12-28 04:32:13.055739","2017-12-28 04:32:13.055739"
54,Brazzaville,CITY,,,"2017-12-28 04:32:13.058872","2017-12-28 04:32:13.058872"
55,"Congo DR",CNTY,,,"2017-12-28 04:32:13.068070","2017-12-28 04:32:13.068070"
56,Kinshasa,CITY,,,"2017-12-28 04:32:13.070498","2017-12-28 04:32:13.070498"
57,"Equatorial Guinea",CNTY,,,"2017-12-28 04:32:13.076554","2017-12-28 04:32:13.076554"
58,Malabo,CITY,,,"2017-12-28 04:32:13.079883","2017-12-28 04:32:13.079883"
59,Gabon,CNTY,,,"2017-12-28 04:32:13.088415","2017-12-28 04:32:13.088415"
60,Libreville,CITY,,,"2017-12-28 04:32:13.091830","2017-12-28 04:32:13.091830"
61,"São Tomé and Príncipe",CNTY,,,"2017-12-28 04:32:13.100848","2017-12-28 04:32:13.100848"
62,"São Tomé",CITY,,,"2017-12-28 04:32:13.103311","2017-12-28 04:32:13.103311"
63,Algeria,CNTY,,,"2017-12-28 04:32:13.109037","2017-12-28 04:32:13.109037"
64,Egypt,CNTY,,,"2017-12-28 04:32:13.117491","2017-12-28 04:32:13.117491"
65,Morocco,CNTY,,,"2017-12-28 04:32:13.123877","2017-12-28 04:32:13.123877"
66,Libya,CNTY,,,"2017-12-28 04:32:13.130174","2017-12-28 04:32:13.130174"
67,Tunisia,CNTY,,,"2017-12-28 04:32:13.137706","2017-12-28 04:32:13.137706"
68,"South Sudan",CNTY,,,"2017-12-28 04:32:13.143024","2017-12-28 04:32:13.143024"
69,Juba,CITY,,,"2017-12-28 04:32:13.146245","2017-12-28 04:32:13.146245"
70,Sudan,CNTY,,,"2017-12-28 04:32:13.155178","2017-12-28 04:32:13.155178"
71,Khartoum,CITY,,,"2017-12-28 04:32:13.157904","2017-12-28 04:32:13.157904"
72,"South Africa",CNTY,,,"2017-12-28 04:32:13.165207","2017-12-28 04:32:13.165207"
73,Botswana,CNTY,,,"2017-12-28 04:32:13.171374","2017-12-28 04:32:13.171374"
74,Gaborone,CITY,,,"2017-12-28 04:32:13.173728","2017-12-28 04:32:13.173728"
75,Lesotho,CNTY,,,"2017-12-28 04:32:13.180123","2017-12-28 04:32:13.180123"
76,Maseru,CITY,,,"2017-12-28 04:32:13.184673","2017-12-28 04:32:13.184673"
77,Namibia,CNTY,,,"2017-12-28 04:32:13.191581","2017-12-28 04:32:13.191581"
78,Windhoek,CITY,,,"2017-12-28 04:32:13.200682","2017-12-28 04:32:13.200682"
79,Swaziland,CNTY,,,"2017-12-28 04:32:13.207371","2017-12-28 04:32:13.207371"
80,Lobamba,CITY,,,"2017-12-28 04:32:13.210092","2017-12-28 04:32:13.210092"
81,Benin,CNTY,,,"2017-12-28 04:32:13.219333","2017-12-28 04:32:13.219333"
82,Porto-Novo,CITY,,,"2017-12-28 04:32:13.222313","2017-12-28 04:32:13.222313"
