id,event_id,title,title2,pos,knockout,start_at,end_at,auto,created_at,updated_at
1,1,"First Round Play-offs / 1st leg","11–12 November 2011",1,f,2011-11-11,2011-11-12,t,"2017-12-28 04:32:22.989308","2017-12-28 04:32:23.175517"
2,1,"First Round Play-offs / 2nd leg","15–16 November 2011",2,t,2011-11-15,2011-11-16,t,"2017-12-28 04:32:23.093575","2017-12-28 04:32:23.178479"
3,1,"Matchday 1",,3,f,2012-06-01,2012-06-03,t,"2017-12-28 04:32:23.348742","2017-12-28 04:32:23.348742"
4,1,"Matchday 2",,4,f,2012-06-09,2012-06-10,t,"2017-12-28 04:32:23.355186","2017-12-28 04:32:23.355186"
5,1,"Matchday 3",,5,f,2013-03-23,2013-03-26,t,"2017-12-28 04:32:23.356923","2017-12-28 04:32:23.356923"
6,1,"Matchday 4",,6,f,2013-06-05,2013-06-09,t,"2017-12-28 04:32:23.358291","2017-12-28 04:32:23.358291"
7,1,"Matchday 5",,7,f,2013-06-12,2013-06-16,t,"2017-12-28 04:32:23.359757","2017-12-28 04:32:23.359757"
8,1,"Matchday 6",,8,f,2013-09-06,2013-09-10,t,"2017-12-28 04:32:23.361123","2017-12-28 04:32:23.361123"
9,1,"Play-off 1st Leg","11–15 October",9,f,2013-10-12,2013-10-15,t,"2017-12-28 04:32:24.412893","2017-12-28 04:32:24.487819"
10,1,"Play-off 2nd Leg","15-19 November",10,t,2013-11-16,2013-11-19,t,"2017-12-28 04:32:24.449348","2017-12-28 04:32:24.490608"
11,2,"First Round Play-offs / 1st leg",,1,f,2011-06-29,2011-06-29,t,"2017-12-28 04:32:24.585967","2017-12-28 04:32:24.687501"
12,2,"First Round Play-offs / 2nd leg",,2,t,2011-07-02,2011-07-03,t,"2017-12-28 04:32:24.635318","2017-12-28 04:32:24.690407"
13,2,"Second Round Play-offs  / 1st leg",,3,f,2011-07-23,2011-07-23,t,"2017-12-28 04:32:24.699756","2017-12-28 04:32:24.883698"
14,2,"Second Round Play-offs   / 2nd leg",,4,t,2011-07-28,2011-07-28,t,"2017-12-28 04:32:24.788582","2017-12-28 04:32:24.887145"
15,2,"Matchday III.1",,5,f,2011-09-02,2011-09-02,t,"2017-12-28 04:32:24.966857","2017-12-28 04:32:24.966857"
16,2,"Matchday III.2",,6,f,2011-09-06,2011-09-06,t,"2017-12-28 04:32:24.968318","2017-12-28 04:32:24.968318"
17,2,"Matchday III.3",,7,f,2011-10-11,2011-10-11,t,"2017-12-28 04:32:24.969634","2017-12-28 04:32:24.969634"
18,2,"Matchday III.4",,8,f,2011-11-11,2011-11-11,t,"2017-12-28 04:32:24.970954","2017-12-28 04:32:24.970954"
19,2,"Matchday III.5",,9,f,2011-11-15,2011-11-15,t,"2017-12-28 04:32:24.972380","2017-12-28 04:32:24.972380"
20,2,"Matchday III.6",,10,f,2012-02-29,2012-02-29,t,"2017-12-28 04:32:24.973770","2017-12-28 04:32:24.973770"
21,2,"Matchday IV.1",,11,f,2012-06-03,2012-06-03,t,"2017-12-28 04:32:25.514125","2017-12-28 04:32:25.514125"
22,2,"Matchday IV.2",,12,f,2012-06-08,2012-06-08,t,"2017-12-28 04:32:25.515641","2017-12-28 04:32:25.515641"
23,2,"Matchday IV.3",,13,f,2012-06-12,2012-06-12,t,"2017-12-28 04:32:25.517088","2017-12-28 04:32:25.517088"
24,2,"Matchday IV.4",,14,f,2012-09-11,2012-09-11,t,"2017-12-28 04:32:25.518813","2017-12-28 04:32:25.518813"
25,2,"Matchday IV.5",,15,f,2012-10-16,2012-10-16,t,"2017-12-28 04:32:25.521252","2017-12-28 04:32:25.521252"
26,2,"Matchday IV.6",,16,f,2012-11-14,2012-11-14,t,"2017-12-28 04:32:25.522867","2017-12-28 04:32:25.522867"
27,2,"Matchday IV.7",,17,f,2013-03-26,2013-03-26,t,"2017-12-28 04:32:25.524418","2017-12-28 04:32:25.524418"
28,2,"Matchday IV.8",,18,f,2013-06-04,2013-06-04,t,"2017-12-28 04:32:25.525798","2017-12-28 04:32:25.525798"
