id,key,title,created_at,updated_at
1,2020/21,2020/21,"2017-12-28 04:32:12.637648","2017-12-28 04:32:12.637648"
2,2019/20,2019/20,"2017-12-28 04:32:12.638836","2017-12-28 04:32:12.638836"
3,2018/19,2018/19,"2017-12-28 04:32:12.639773","2017-12-28 04:32:12.639773"
4,2017/18,2017/18,"2017-12-28 04:32:12.640651","2017-12-28 04:32:12.640651"
5,2016/17,2016/17,"2017-12-28 04:32:12.641580","2017-12-28 04:32:12.641580"
6,2015/16,2015/16,"2017-12-28 04:32:12.642461","2017-12-28 04:32:12.642461"
7,2014/15,2014/15,"2017-12-28 04:32:12.644183","2017-12-28 04:32:12.644183"
8,2013/14,2013/14,"2017-12-28 04:32:12.645307","2017-12-28 04:32:12.645307"
9,2012/13,2012/13,"2017-12-28 04:32:12.646303","2017-12-28 04:32:12.646303"
10,2011/12,2011/12,"2017-12-28 04:32:12.649458","2017-12-28 04:32:12.649458"
11,2010/11,2010/11,"2017-12-28 04:32:12.650517","2017-12-28 04:32:12.650517"
12,2009/10,2009/10,"2017-12-28 04:32:12.651618","2017-12-28 04:32:12.651618"
13,2008/09,2008/09,"2017-12-28 04:32:12.653801","2017-12-28 04:32:12.653801"
14,2007/08,2007/08,"2017-12-28 04:32:12.654897","2017-12-28 04:32:12.654897"
15,2006/07,2006/07,"2017-12-28 04:32:12.655833","2017-12-28 04:32:12.655833"
16,2005/06,2005/06,"2017-12-28 04:32:12.656689","2017-12-28 04:32:12.656689"
17,2004/05,2004/05,"2017-12-28 04:32:12.657560","2017-12-28 04:32:12.657560"
18,2003/04,2003/04,"2017-12-28 04:32:12.658416","2017-12-28 04:32:12.658416"
19,2002/03,2002/03,"2017-12-28 04:32:12.659358","2017-12-28 04:32:12.659358"
20,2001/02,2001/02,"2017-12-28 04:32:12.661171","2017-12-28 04:32:12.661171"
21,2000/01,2000/01,"2017-12-28 04:32:12.662357","2017-12-28 04:32:12.662357"
22,2022,2022,"2017-12-28 04:32:12.664027","2017-12-28 04:32:12.664027"
23,2021,2021,"2017-12-28 04:32:12.666973","2017-12-28 04:32:12.666973"
24,2020,2020,"2017-12-28 04:32:12.668114","2017-12-28 04:32:12.668114"
25,2019,2019,"2017-12-28 04:32:12.669029","2017-12-28 04:32:12.669029"
26,2018,2018,"2017-12-28 04:32:12.669962","2017-12-28 04:32:12.669962"
27,2017,2017,"2017-12-28 04:32:12.670824","2017-12-28 04:32:12.670824"
28,2016,2016,"2017-12-28 04:32:12.671765","2017-12-28 04:32:12.671765"
29,2015,2015,"2017-12-28 04:32:12.672749","2017-12-28 04:32:12.672749"
30,2014,2014,"2017-12-28 04:32:12.673658","2017-12-28 04:32:12.673658"
31,2013,2013,"2017-12-28 04:32:12.674594","2017-12-28 04:32:12.674594"
32,2012,2012,"2017-12-28 04:32:12.675518","2017-12-28 04:32:12.675518"
33,2011,2011,"2017-12-28 04:32:12.676436","2017-12-28 04:32:12.676436"
34,2010,2010,"2017-12-28 04:32:12.678057","2017-12-28 04:32:12.678057"
35,2009,2009,"2017-12-28 04:32:12.679066","2017-12-28 04:32:12.679066"
36,2008,2008,"2017-12-28 04:32:12.681655","2017-12-28 04:32:12.681655"
37,2007,2007,"2017-12-28 04:32:12.683236","2017-12-28 04:32:12.683236"
38,2006,2006,"2017-12-28 04:32:12.684278","2017-12-28 04:32:12.684278"
39,2005,2005,"2017-12-28 04:32:12.685229","2017-12-28 04:32:12.685229"
40,2004,2004,"2017-12-28 04:32:12.686123","2017-12-28 04:32:12.686123"
41,2003,2003,"2017-12-28 04:32:12.687113","2017-12-28 04:32:12.687113"
42,2002,2002,"2017-12-28 04:32:12.688020","2017-12-28 04:32:12.688020"
43,2001,2001,"2017-12-28 04:32:12.688926","2017-12-28 04:32:12.688926"
44,2000,2000,"2017-12-28 04:32:12.689838","2017-12-28 04:32:12.689838"
45,2015.1,2015.1,"2017-12-28 04:32:12.690739","2017-12-28 04:32:12.690739"
46,2015.2,2015.2,"2017-12-28 04:32:12.691654","2017-12-28 04:32:12.691654"
47,2014.1,2014.1,"2017-12-28 04:32:12.692565","2017-12-28 04:32:12.692565"
48,2014.2,2014.2,"2017-12-28 04:32:12.694208","2017-12-28 04:32:12.694208"
49,2013.1,2013.1,"2017-12-28 04:32:12.695355","2017-12-28 04:32:12.695355"
50,2013.2,2013.2,"2017-12-28 04:32:12.696438","2017-12-28 04:32:12.696438"
51,2012.1,2012.1,"2017-12-28 04:32:12.699341","2017-12-28 04:32:12.699341"
52,2012.2,2012.2,"2017-12-28 04:32:12.700462","2017-12-28 04:32:12.700462"
53,2011.1,2011.1,"2017-12-28 04:32:12.701394","2017-12-28 04:32:12.701394"
54,2011.2,2011.2,"2017-12-28 04:32:12.702414","2017-12-28 04:32:12.702414"
55,2010.1,2010.1,"2017-12-28 04:32:12.703345","2017-12-28 04:32:12.703345"
56,2010.2,2010.2,"2017-12-28 04:32:12.704256","2017-12-28 04:32:12.704256"
