id,tag_id,taggable_type,taggable_id,created_at,updated_at
1,1,WorldDb::Model::Country,1,"2017-12-28 04:32:12.841076","2017-12-28 04:32:12.841076"
2,1,WorldDb::Model::Country,2,"2017-12-28 04:32:12.852457","2017-12-28 04:32:12.852457"
3,1,WorldDb::Model::Country,3,"2017-12-28 04:32:12.861198","2017-12-28 04:32:12.861198"
4,1,WorldDb::Model::Country,4,"2017-12-28 04:32:12.872422","2017-12-28 04:32:12.872422"
5,1,WorldDb::Model::Country,5,"2017-12-28 04:32:12.883284","2017-12-28 04:32:12.883284"
6,1,WorldDb::Model::Country,6,"2017-12-28 04:32:12.891496","2017-12-28 04:32:12.891496"
7,1,WorldDb::Model::Country,7,"2017-12-28 04:32:12.903947","2017-12-28 04:32:12.903947"
8,1,WorldDb::Model::Country,8,"2017-12-28 04:32:12.912581","2017-12-28 04:32:12.912581"
9,1,WorldDb::Model::Country,9,"2017-12-28 04:32:12.922992","2017-12-28 04:32:12.922992"
10,1,WorldDb::Model::Country,10,"2017-12-28 04:32:12.934743","2017-12-28 04:32:12.934743"
11,1,WorldDb::Model::Country,11,"2017-12-28 04:32:12.942774","2017-12-28 04:32:12.942774"
12,1,WorldDb::Model::Country,12,"2017-12-28 04:32:12.953772","2017-12-28 04:32:12.953772"
13,1,WorldDb::Model::Country,13,"2017-12-28 04:32:12.967145","2017-12-28 04:32:12.967145"
14,1,WorldDb::Model::Country,14,"2017-12-28 04:32:12.975390","2017-12-28 04:32:12.975390"
15,1,WorldDb::Model::Country,15,"2017-12-28 04:32:12.987114","2017-12-28 04:32:12.987114"
16,1,WorldDb::Model::Country,16,"2017-12-28 04:32:12.997162","2017-12-28 04:32:12.997162"
17,1,WorldDb::Model::Country,17,"2017-12-28 04:32:13.007612","2017-12-28 04:32:13.007612"
18,1,WorldDb::Model::Country,18,"2017-12-28 04:32:13.019797","2017-12-28 04:32:13.019797"
19,1,WorldDb::Model::Country,19,"2017-12-28 04:32:13.030374","2017-12-28 04:32:13.030374"
20,1,WorldDb::Model::Country,20,"2017-12-28 04:32:13.041902","2017-12-28 04:32:13.041902"
21,1,WorldDb::Model::Country,21,"2017-12-28 04:32:13.053756","2017-12-28 04:32:13.053756"
22,1,WorldDb::Model::Country,22,"2017-12-28 04:32:13.064640","2017-12-28 04:32:13.064640"
23,1,WorldDb::Model::Country,23,"2017-12-28 04:32:13.074572","2017-12-28 04:32:13.074572"
24,1,WorldDb::Model::Country,24,"2017-12-28 04:32:13.086444","2017-12-28 04:32:13.086444"
25,1,WorldDb::Model::Country,25,"2017-12-28 04:32:13.096861","2017-12-28 04:32:13.096861"
26,1,WorldDb::Model::Country,26,"2017-12-28 04:32:13.107310","2017-12-28 04:32:13.107310"
27,1,WorldDb::Model::Country,27,"2017-12-28 04:32:13.113265","2017-12-28 04:32:13.113265"
28,1,WorldDb::Model::Country,28,"2017-12-28 04:32:13.121058","2017-12-28 04:32:13.121058"
29,1,WorldDb::Model::Country,29,"2017-12-28 04:32:13.128145","2017-12-28 04:32:13.128145"
30,1,WorldDb::Model::Country,30,"2017-12-28 04:32:13.135888","2017-12-28 04:32:13.135888"
31,1,WorldDb::Model::Country,31,"2017-12-28 04:32:13.141132","2017-12-28 04:32:13.141132"
32,1,WorldDb::Model::Country,32,"2017-12-28 04:32:13.152785","2017-12-28 04:32:13.152785"
33,1,WorldDb::Model::Country,33,"2017-12-28 04:32:13.162513","2017-12-28 04:32:13.162513"
34,1,WorldDb::Model::Country,34,"2017-12-28 04:32:13.169762","2017-12-28 04:32:13.169762"
35,1,WorldDb::Model::Country,35,"2017-12-28 04:32:13.178221","2017-12-28 04:32:13.178221"
36,1,WorldDb::Model::Country,36,"2017-12-28 04:32:13.189738","2017-12-28 04:32:13.189738"
37,1,WorldDb::Model::Country,37,"2017-12-28 04:32:13.205307","2017-12-28 04:32:13.205307"
38,1,WorldDb::Model::Country,38,"2017-12-28 04:32:13.216932","2017-12-28 04:32:13.216932"
39,1,WorldDb::Model::Country,39,"2017-12-28 04:32:13.226339","2017-12-28 04:32:13.226339"
40,1,WorldDb::Model::Country,40,"2017-12-28 04:32:13.238554","2017-12-28 04:32:13.238554"
41,1,WorldDb::Model::Country,41,"2017-12-28 04:32:13.250187","2017-12-28 04:32:13.250187"
42,1,WorldDb::Model::Country,42,"2017-12-28 04:32:13.256827","2017-12-28 04:32:13.256827"
43,1,WorldDb::Model::Country,43,"2017-12-28 04:32:13.263750","2017-12-28 04:32:13.263750"
44,1,WorldDb::Model::Country,44,"2017-12-28 04:32:13.271122","2017-12-28 04:32:13.271122"
45,1,WorldDb::Model::Country,45,"2017-12-28 04:32:13.281688","2017-12-28 04:32:13.281688"
46,1,WorldDb::Model::Country,46,"2017-12-28 04:32:13.296252","2017-12-28 04:32:13.296252"
47,1,WorldDb::Model::Country,47,"2017-12-28 04:32:13.312631","2017-12-28 04:32:13.312631"
48,1,WorldDb::Model::Country,48,"2017-12-28 04:32:13.329333","2017-12-28 04:32:13.329333"
49,1,WorldDb::Model::Country,49,"2017-12-28 04:32:13.339682","2017-12-28 04:32:13.339682"
50,1,WorldDb::Model::Country,50,"2017-12-28 04:32:13.355573","2017-12-28 04:32:13.355573"
51,1,WorldDb::Model::Country,51,"2017-12-28 04:32:13.363752","2017-12-28 04:32:13.363752"
52,1,WorldDb::Model::Country,52,"2017-12-28 04:32:13.376622","2017-12-28 04:32:13.376622"
53,1,WorldDb::Model::Country,53,"2017-12-28 04:32:13.389490","2017-12-28 04:32:13.389490"
54,1,WorldDb::Model::Country,54,"2017-12-28 04:32:13.400533","2017-12-28 04:32:13.400533"
55,2,WorldDb::Model::Country,55,"2017-12-28 04:32:13.407746","2017-12-28 04:32:13.407746"
56,3,WorldDb::Model::Country,56,"2017-12-28 04:32:13.420911","2017-12-28 04:32:13.420911"
57,3,WorldDb::Model::Country,57,"2017-12-28 04:32:13.430347","2017-12-28 04:32:13.430347"
58,3,WorldDb::Model::Country,58,"2017-12-28 04:32:13.440488","2017-12-28 04:32:13.440488"
59,3,WorldDb::Model::Country,59,"2017-12-28 04:32:13.452374","2017-12-28 04:32:13.452374"
60,3,WorldDb::Model::Country,60,"2017-12-28 04:32:13.461333","2017-12-28 04:32:13.461333"
61,3,WorldDb::Model::Country,61,"2017-12-28 04:32:13.471303","2017-12-28 04:32:13.471303"
62,3,WorldDb::Model::Country,62,"2017-12-28 04:32:13.480308","2017-12-28 04:32:13.480308"
63,3,WorldDb::Model::Country,63,"2017-12-28 04:32:13.489948","2017-12-28 04:32:13.489948"
64,3,WorldDb::Model::Country,64,"2017-12-28 04:32:13.499492","2017-12-28 04:32:13.499492"
65,3,WorldDb::Model::Country,65,"2017-12-28 04:32:13.507965","2017-12-28 04:32:13.507965"
66,3,WorldDb::Model::Country,66,"2017-12-28 04:32:13.518883","2017-12-28 04:32:13.518883"
67,3,WorldDb::Model::Country,67,"2017-12-28 04:32:13.527306","2017-12-28 04:32:13.527306"
68,3,WorldDb::Model::Country,68,"2017-12-28 04:32:13.536844","2017-12-28 04:32:13.536844"
69,3,WorldDb::Model::Country,69,"2017-12-28 04:32:13.545530","2017-12-28 04:32:13.545530"
70,3,WorldDb::Model::Country,70,"2017-12-28 04:32:13.555367","2017-12-28 04:32:13.555367"
71,3,WorldDb::Model::Country,71,"2017-12-28 04:32:13.564282","2017-12-28 04:32:13.564282"
72,3,WorldDb::Model::Country,72,"2017-12-28 04:32:13.573229","2017-12-28 04:32:13.573229"
73,3,WorldDb::Model::Country,73,"2017-12-28 04:32:13.582720","2017-12-28 04:32:13.582720"
74,3,WorldDb::Model::Country,74,"2017-12-28 04:32:13.590617","2017-12-28 04:32:13.590617"
75,3,WorldDb::Model::Country,75,"2017-12-28 04:32:13.599285","2017-12-28 04:32:13.599285"
76,3,WorldDb::Model::Country,76,"2017-12-28 04:32:13.612149","2017-12-28 04:32:13.612149"
77,3,WorldDb::Model::Country,77,"2017-12-28 04:32:13.622268","2017-12-28 04:32:13.622268"
78,3,WorldDb::Model::Country,78,"2017-12-28 04:32:13.631653","2017-12-28 04:32:13.631653"
79,3,WorldDb::Model::Country,79,"2017-12-28 04:32:13.640031","2017-12-28 04:32:13.640031"
80,3,WorldDb::Model::Country,80,"2017-12-28 04:32:13.650209","2017-12-28 04:32:13.650209"
81,3,WorldDb::Model::Country,81,"2017-12-28 04:32:13.658465","2017-12-28 04:32:13.658465"
82,3,WorldDb::Model::Country,82,"2017-12-28 04:32:13.667906","2017-12-28 04:32:13.667906"
83,3,WorldDb::Model::Country,83,"2017-12-28 04:32:13.675966","2017-12-28 04:32:13.675966"
84,3,WorldDb::Model::Country,84,"2017-12-28 04:32:13.687247","2017-12-28 04:32:13.687247"
85,3,WorldDb::Model::Country,85,"2017-12-28 04:32:13.696097","2017-12-28 04:32:13.696097"
86,4,WorldDb::Model::Country,86,"2017-12-28 04:32:13.702856","2017-12-28 04:32:13.702856"
87,4,WorldDb::Model::Country,87,"2017-12-28 04:32:13.707772","2017-12-28 04:32:13.707772"
88,4,WorldDb::Model::Country,88,"2017-12-28 04:32:13.715063","2017-12-28 04:32:13.715063"
89,4,WorldDb::Model::Country,89,"2017-12-28 04:32:13.723294","2017-12-28 04:32:13.723294"
90,4,WorldDb::Model::Country,90,"2017-12-28 04:32:13.731945","2017-12-28 04:32:13.731945"
91,4,WorldDb::Model::Country,91,"2017-12-28 04:32:13.740198","2017-12-28 04:32:13.740198"
92,4,WorldDb::Model::Country,92,"2017-12-28 04:32:13.750902","2017-12-28 04:32:13.750902"
93,4,WorldDb::Model::Country,93,"2017-12-28 04:32:13.759149","2017-12-28 04:32:13.759149"
94,4,WorldDb::Model::Country,94,"2017-12-28 04:32:13.769165","2017-12-28 04:32:13.769165"
95,4,WorldDb::Model::Country,95,"2017-12-28 04:32:13.778501","2017-12-28 04:32:13.778501"
96,4,WorldDb::Model::Country,96,"2017-12-28 04:32:13.788086","2017-12-28 04:32:13.788086"
97,4,WorldDb::Model::Country,97,"2017-12-28 04:32:13.796859","2017-12-28 04:32:13.796859"
98,4,WorldDb::Model::Country,98,"2017-12-28 04:32:13.805345","2017-12-28 04:32:13.805345"
99,5,WorldDb::Model::Country,99,"2017-12-28 04:32:13.817225","2017-12-28 04:32:13.817225"
100,5,WorldDb::Model::Country,100,"2017-12-28 04:32:13.826020","2017-12-28 04:32:13.826020"
101,5,WorldDb::Model::Country,101,"2017-12-28 04:32:13.834932","2017-12-28 04:32:13.834932"
102,5,WorldDb::Model::Country,102,"2017-12-28 04:32:13.844781","2017-12-28 04:32:13.844781"
103,5,WorldDb::Model::Country,103,"2017-12-28 04:32:13.854378","2017-12-28 04:32:13.854378"
104,5,WorldDb::Model::Country,104,"2017-12-28 04:32:13.863160","2017-12-28 04:32:13.863160"
105,5,WorldDb::Model::Country,105,"2017-12-28 04:32:13.871443","2017-12-28 04:32:13.871443"
