id,key,title,title2,code,synonyms,country_id,city_id,club,since,address,web,assoc_id,national,created_at,updated_at
1,alg,Algeria,,ALG,,27,,f,,,,,f,"2017-12-28 04:32:22.421467","2017-12-28 04:32:22.421467"
2,egy,Egypt,,EGY,,28,,f,,,,,f,"2017-12-28 04:32:22.424391","2017-12-28 04:32:22.424391"
3,mar,Morocco,,MAR,,29,,f,,,,,f,"2017-12-28 04:32:22.426203","2017-12-28 04:32:22.426203"
4,lby,Libya,,LBY,,30,,f,,,,,f,"2017-12-28 04:32:22.427744","2017-12-28 04:32:22.427744"
5,tun,Tunisia,,TUN,,31,,f,,,,,f,"2017-12-28 04:32:22.429329","2017-12-28 04:32:22.429329"
6,cpv,"Cape Verde",,CPV,,41,,f,,,,,f,"2017-12-28 04:32:22.431986","2017-12-28 04:32:22.431986"
7,gam,Gambia,,GAM,,43,,f,,,,,f,"2017-12-28 04:32:22.433816","2017-12-28 04:32:22.433816"
8,gui,Guinea,,GUI,,45,,f,,,,,f,"2017-12-28 04:32:22.435383","2017-12-28 04:32:22.435383"
9,gnb,Guinea-Bissau,,GNB,"Guinea Bissau",46,,f,,,,,f,"2017-12-28 04:32:22.436964","2017-12-28 04:32:22.436964"
10,lbr,Liberia,,LBR,,47,,f,,,,,f,"2017-12-28 04:32:22.438509","2017-12-28 04:32:22.438509"
11,mli,Mali,,MLI,,48,,f,,,,,f,"2017-12-28 04:32:22.440133","2017-12-28 04:32:22.440133"
12,mtn,Mauritania,,MTN,,49,,f,,,,,f,"2017-12-28 04:32:22.441781","2017-12-28 04:32:22.441781"
13,sen,Senegal,,SEN,,52,,f,,,,,f,"2017-12-28 04:32:22.443897","2017-12-28 04:32:22.443897"
14,sle,"Sierra Leone",,SLE,,53,,f,,,,,f,"2017-12-28 04:32:22.445735","2017-12-28 04:32:22.445735"
15,ben,Benin,,BEN,,39,,f,,,,,f,"2017-12-28 04:32:22.447277","2017-12-28 04:32:22.447277"
16,bfa,"Burkina Faso",,BFA,,40,,f,,,,,f,"2017-12-28 04:32:22.448789","2017-12-28 04:32:22.448789"
